,PC1,PC2
Before making a major trip‚ I consult with most members of my family and many friends,-0.1524044606530914,0.4855548295784947
Children should be taught to place duty before pleasure,0.14991037141145216,-0.0070950621991333765
Children should feel honored if their parents receive a distinguished award,0.18225106866621457,-0.11040548357316805
Competition is law of nature,0.12331691807654323,0.03459192516562278
I am a unique individual,0.24128201673941532,-0.24721394024872195
I enjoy being unique and different from the others in many ways,0.07363401941020722,-0.03720206053327583
I enjoy working in situations involving competition with others,0.07024527127056664,0.13696788232984627
I feel good when I cooperate with others,0.20195722195521373,0.06135512529460881
I hate to disagree with others in my group,0.14324042184977778,0.08580839232129413
I like my privacy,0.25004872043650717,0.0589732636849249
I like sharing little things with my neighbors,0.038837215909094336,0.1759254693122553
I often do my own thing,-0.01648868415819203,0.08532824231396595
I prefer to be direct and forthright when I talk with people,0.113226412892228,0.18936140098240847
I think cooperation in workplace is more important than competition,0.19915174383741238,0.16491233097712676
I think it is important everyone has equal access to healthcare,0.2624679810494276,0.07517438313665226
I usually sacrifice my self-interest for the benefit of my group,0.1092991769958522,-0.16770796014162245
I would do what would please my family,0.21189826839504822,0.08917925003733575
I would sacrifice an activity that I enjoy very much if my family did not approve of it,0.06552176980262246,0.09368813442406247
If a co-worker gets a prize I would feel proud,0.17787487676581454,-0.0767182469472038
If a relative were in financial difficulty‚ I would help within my means,0.29053628266766246,0.052360042391075924
It annoys me when others people perform better than I do,-7.079250993221624e-05,0.25358629646454434
It is important for me that I do my job better than the others,0.08202018201739127,0.010404999491842764
It is important for me to maintain harmony within my group,0.24321891502506704,-0.033698515537847404
My happiness depends very much on the happiness of those around me,0.16032526132819147,-0.05621042223887308
One should live one’s life independently of others,-0.026417529210314476,0.08198694119404527
Some people emphasize winning; I am not one of them,0.2317210936525215,-0.028979299268299584
The wellbeing of my coworkers is important to me,0.3022498245771288,-0.11196527095434462
To me pleasure is spending time with others,0.15470158128883277,0.10303876129350195
We should keep our aging parents with us at home,0.20518536427364417,0.14762087966291076
What happens to me is my own doing,0.07388889312627911,-0.2057114366492146
When I succeeded‚ it is usually because of my abilities,0.3183075865924983,0.2047001975381276
When another person does better than I do‚ I get tense and aroused,-0.015422443643097628,0.18887307286427282
Winning is everything,-0.052383481029759024,0.34929149716062363
Without competition it is impossible to have a good society,0.0018319259296265854,0.36249601225701356
