,F1,F2
"Even when I’m feeling terribly upset, I can find a way to put it into words.",-0.03550427051470455,0.4410791866102819
I am easily distracted.,0.5775925662621124,0.0015503285530224468
I believe some of my thoughts are abnormal or bad and I shouldn’t think that way.,0.4791195966376292,0.4521785269226023
"I can easily put my beliefs, opinions, and expectations into words.",-0.13812720869419892,0.340287745999067
I can usually describe how I feel at the moment in considerable detail.,0.5799156459067843,0.2880397291738376
I criticize myself for having irrational or inappropriate emotions.,0.538763870850381,0.3534575813263035
I disapprove of myself when I have irrational ideas.,0.32466966926778484,0.42864084799169827
I do jobs or tasks automatically without being aware of what I’m doing.,-0.05188135002356114,0.41304248923174613
"I don’t pay attention to what I’m doing because I’m daydreaming, worrying, or otherwise distracted.",0.5611362274719126,-0.12222877719549428
I find it difficult to stay focused on what’s happening in the present.,0.29978006455298684,-0.44866962194392573
I find myself doing things without paying attention.,0.27978100909288156,-0.1307988741097341
I have trouble thinking of the right words to express how I feel about things.,0.23542326077713535,-0.16251901455976564
I make judgments about whether my thoughts are good or bad.,0.17612286043042943,0.3352480026882777
"I notice how foods and drinks affect my thoughts, bodily sensations, and emotions.",0.7586199580458575,-0.038558402238174055
I notice the smells and aromas of things.,0.5242643967954395,-0.2737067512400913
"I notice visual elements in art or nature, such as colors, shapes, textures, or patterns of light and shadow.",0.43150526811690687,0.3944410642308635
I pay attention to how my emotions affect my thoughts and behavior.,0.6121143124012459,0.19237828913254204
"I pay attention to sensations, such as the wind in my hair or sun on my face.",0.5760727108078796,-0.05455435856465736
"I pay attention to sounds, such as clocks ticking, birds chirping, or cars passing.",0.7834818259894253,0.11018050250313874
I perceive my feelings and emotions without having to react to them.,0.2761661369424513,0.36476668413896307
I rush through activities without being really attentive to them.,0.7317870562441559,-0.1891055987140178
I tell myself I shouldn’t be feeling the way I’m feeling.,0.6437084007660012,0.1022979276347895
I tell myself that I shouldn’t be thinking the way I’m thinking.,0.26256101659990516,0.37226444439292833
I think some of my emotions are bad or inappropriate and I shouldn’t feel them.,0.4037363979911238,0.38446785248060206
I watch my feelings without getting lost in them.,0.007049864347654646,0.5841903540331175
"In difficult situations, I can pause without immediately reacting.",-0.2683389650929298,0.6654291712656616
It seems I am “running on automatic” without much awareness of what I’m doing.,-0.1688696709225899,0.3067212123112182
It’s hard for me to find the words to describe what I’m thinking.,0.5039760324634234,-0.43719174465246496
I’m good at finding words to describe my feelings.,0.22202947327554504,0.53045669958807
My natural tendency is to put my experiences into words.,-0.4006874132316625,0.43430831010900406
"When I do things, my mind wanders off and I’m easily distracted.",0.6991510164873845,-0.32195973385411486
"When I have a sensation in my body, it’s difficult for me to describe it because I can’t find the right words.",0.7302989547214649,0.05820737990136608
"When I have distressing thoughts or images, I am able just to notice them without reacting.",0.06632716454810389,0.48756852253721483
"When I have distressing thoughts or images, I feel calm soon after.",0.1194319882631677,0.6829970216486726
"When I have distressing thoughts or images, I judge myself as good or bad depending what the thought or image is about.",0.8022568818199973,-0.10204483512717714
"When I have distressing thoughts or images, I just notice them and let them go.",0.24546840112851673,0.5070311398697045
"When I have distressing thoughts or images, I “step back” and am aware of the thought or image without getting taken over by it.",-0.25484376327411223,0.553157993120138
"When I take a shower or bath, I stay alert to the sensations of water on my body.",0.7198086567323293,0.05335146061540738
"When I’m walking, I deliberately notice the sensations of my body moving.",0.7933170193192661,0.09096802792790164
