,F1,F2
Achieving my goals is one of the greatest joys in life,0.8480888129152555,0.024759179577161766
All people are fundamentally equal,0.6701810106361387,-0.11074987669258449
Caring for others is one of the most important things in life,0.7005587681749195,-0.12258715147016404
Doing things as they have always been done is more important than changing things ,-0.08791181680808743,0.3899939102595449
Getting what I want in life is among my most important values,0.03823920490833118,0.7016249573817553
Helping others is the most important thing,0.7877566393366671,-0.3916802018952369
I aspire to power,-0.08184794299224687,0.8082995201251163
I believe in fight for equality,0.7623320285328727,-0.006752194081645058
I crave a predictable life,0.4796905532153388,0.28796244384566916
I crave novelty,0.00299536830943616,0.497293565077343
I enjoy being in charge of a situation,0.12548725886017398,0.6214654926147225
I hold to my core values no matter what,0.6904718786971218,-0.04809613959170963
I like routine and dislike the unexpected,0.33868320850007,0.3098322604220978
I like to feel a rush,0.22000544157409466,0.6603527059612514
I like to stick up for the ‘underdog’,0.8390634660816244,0.19090621604151545
I like to tell others what to do,0.019548631837582053,0.5707798664796562
I love to try new and exciting things,0.8029134088753128,0.05626346474503151
I seek out pleasure in life,0.2727409412043665,0.7438261487587716
I think it is important to follow the rules,0.37669132001995626,-0.7129530873096217
I usually do what others tell me,0.3430043844282708,-0.545209568738583
I value my creativity and individuality,0.5145293731773976,0.31144132151109155
"If it feels good, do it",-0.1141720032447482,0.616714164281296
It helps me to know what to expect,0.837224250250767,0.04811223406167049
It is important for me to feel authentic to who I really am,0.5537417405862266,0.3622595871762434
It is important to be successful,0.7899354384480444,-0.04519429374593845
It makes sense to seek out pleasure and avoid pain,0.7076441920717884,0.3132027754728831
Rituals are important to me,0.3286017261060213,0.4581342665451212
The highest goal is in serving humanity,0.5360434568125815,-0.3900854035250779
Things go more smoothly when people follow established rules,0.5867176087242967,-0.19574980415607415
Tradition is my foundation,0.259855099115432,0.4883287704623782
