,PC1
I accept the reality of the fact that it happened.,-0.17407765595569735
I act as though it hasn't even happened.,0.1740776559556978
"I admit to myself that I can't deal with it, and quit trying.",0.1740776559556978
"I do what has to be done, one step at a time.",-0.1740776559556978
"I drink alcohol or take drugs, in order to think about it less.",0.1740776559556978
I feel a lot of emotional distress and I find myself expressing those feelings a lot.,0.1740776559556978
"I focus on dealing with this problem, and if necessary let other things slide a little.",0.1740776559556978
I get upset and let my emotions out.,0.1740776559556978
I give up the attempt to get what I want.,0.1740776559556978
I hold off doing anything about it until the situation permits.,-0.1740776559556978
I just give up trying to reach my goal.,0.1740776559556978
I learn something from the experience.,-0.1740776559556978
I let my feelings out.,0.1740776559556978
I make a plan of action.,-0.1740776559556978
I make fun of the situation.,0.1740776559556978
I pray more than usual.,0.1740776559556978
I pretend that it hasn't really happened.,0.1740776559556978
I put aside other activities in order to concentrate on this.,0.1740776559556978
I put my trust in God.,0.1740776559556978
I reduce the amount of effort I'm putting into solving the problem.,0.1740776559556978
I refuse to believe that it has happened.,0.1740776559556978
"I say to myself ""this isn't real.""",0.1740776559556978
I seek God's help.,0.3481553119113956
I take direct action to get around the problem.,0.1740776559556978
I think hard about what steps to take.,-0.1740776559556978
I try to find comfort in my religion.,0.1740776559556978
I try to get advice from someone about what to do.,-0.1740776559556978
I try to get emotional support from friends or relatives.,0.1740776559556978
I try to grow as a person as a result of the experience.,-0.1740776559556978
I use alcohol or drugs to help me get through it.,0.1740776559556978
