,F1
Difficulty in breathing,0.8351411153256356
Dizzy or lightheaded,0.6739355010902307
Face flushed,0.5973354802831259
Faint / lightheaded,0.8264592273876457
Fear of dying,0.7847484901933872
Fear of losing control,0.7523652798276451
Fear of worst happening,0.5892768785692679
Feeling hot,0.5899345969247501
Feeling of choking,0.6712232676364962
Handstrembling,0.8369174975454761
Heart pounding/racing,0.9158548171491103
Hot/cold sweats,0.8443439216730951
Indigestion,0.6241701825064809
Nervous,0.6411908932947595
Scared,0.7561943737112029
Shaky / unsteady,0.77097653237715
Terrified or afraid,0.9120230078271733
Unable to relax,0.594825549132127
Unsteady,0.7959129358051623
Wobbliness in legs,0.7281675409326247
