,F1,F2
I control my emotions by changing the way I think about the situation I’m in.,0.7343299495963089,0.05707529704194048
I control my emotions by not expressing them.,0.03537394805811709,0.39172819978201034
I keep my emotions to myself.,0.08422084647622453,0.7110810859000094
"When I am feeling negative emotions, I make sure not to express them.",-0.011417059512829484,0.8745599080190581
"When I am feeling positive emotions, I am careful not to express them.",-0.2602311708402624,0.5381282359875961
"When I want to feel less negative emotion (such as sadness or anger), I change what I’m thinking about.",0.8438527066695198,-0.06505170812606949
"When I want to feel less negative emotion, I change the way I’m thinking about the situation.",0.8222115602470985,-0.10273410398068421
"When I want to feel more positive emotion (such as joy or amusement), I change what I’m thinking about.",0.7507697424626719,0.25462602040853627
"When I want to feel more positive emotion, I change the way I’m thinking about the situation.the situation.",0.7447778720766379,-0.06638046835311398
"When I’m faced with a stressful situation, I make myself think about it in a way that helps me stay calm.",0.5318632460506455,-0.015190718617638746
