,PC1,PC2,PC3
Almost anything is possible for me if I really want it.,0.13844477045436848,0.05759366924950717,0.15075806798842784
Bad economic conditions are caused by world events that are beyond our control.,-0.03619912676601995,-0.0195318293440918,0.08981943797229126
Bad luck has sometimes prevented me from achieving things.,0.23636261902596167,0.06867997140963188,-0.15692103642287192
"By taking an active part in political and social affairs, we the people can influence world events.",-0.06967734462245607,-0.08843893333315418,0.016044767206252187
I can learn almost anything if I set my mind to it.,0.04794822307679408,-0.008124229451981478,0.05802193732244096
I can usually achieve what I want if I work hard for it.,0.06730901619873123,-0.11177489257670396,0.03016739468832128
I can usually develop a personal relationship with someone I find appealing.,0.4730025150655796,0.08968389190732792,0.22628750234707565
I can usually steer a conversation toward the topics I want to talk about.,0.10517942307722612,0.023273024966027008,0.2683361890254477
I find it easy to play an important part in most group situations.,0.06570862158616769,0.00921216062153089,0.1466813194384804
I find it pointless to keep working on something that's too difficult for me.,0.14075466568066222,0.7079306853594846,0.11537489511372122
I have no trouble making and keeping friends.,0.20437588216696337,-0.2277585922468204,-0.02038362334759027
I often find it hard to get my point of view across to others.,0.246144078385921,-0.011463445750829204,-0.1970212487791229
I prefer games involving some luck over games requiring pure skill.,0.07914763987131768,0.12858026210639042,-0.08315115036910686
I prefer to concentrate my energy on other things rather than on solving the world's problems.,0.16176458817825384,0.18427393658993282,0.11543895581571932
I usually do not set goals because I have a hard time following through on them.,0.11660232249173205,0.06571943804415448,-0.35308796687511856
I'm not good at guiding the course of a conversation with several others.,0.02798487750429267,-0.3743596974928347,-0.11409537457000203
"If there's someone I want to meet, I can usually arrange it.",0.13425630873506453,-0.041642729646258744,0.4510068183687406
"In attempting to smooth over a disagreement, I sometimes make it worse.",-0.023811869175363137,0.07507778663680059,0.09689949651523748
"In my personal relationships, the other person usually has more control than I do.",-0.1391152286661856,0.15902964146153298,-0.04304149062154592
"In the long run, we the voters are responsible for bad government on a national as well as a local level.",-0.09782967260533992,-0.13765580818054896,0.23499635294220572
It is difficult for us to have much control over the things politicians do in office.,0.09597217010332394,-0.12152402436775976,0.16258096561094754
It is impossible to have any real influence over what big businesses do.,0.2262908616510419,-0.05691522246528814,-0.2028909221688158
Most of what happens in my career is beyond my control.,-0.19876593782305804,0.3001170840790418,-0.09334748461399096
My major accomplishments are entirely due to my hard work and ability.,0.5118445598106518,-0.04876162179246528,-0.1750063393238962
"Once I make plans, I am almost certain to make them work.",-0.003811717720467748,-0.041283949266097915,0.05140287918404077
One of the major reasons we have wars is because people don't take enough interest in politics.,0.07875439438606308,-0.1469296970885306,0.23205485227469944
The average citizen can have an influence on government decisions.,-0.015377031684986643,0.0652723018972591,0.09387452942919357
"There is nothing we, as consumers, can do to keep the cost of living from going higher.",-0.017258967411677054,-0.09291724229319206,-0.06772611567396909
"When I need assistance with something, I often find it difficult to get others to help.",0.11145396181526084,0.0740847255305096,-0.3626990016276862
With enough effort we can wipe out political corruption.,0.2743720443754622,-0.10328341501406338,0.08120822363556991
