,F1
I couldn’t seem to experience any positive feeling at all,0.5910490575738425
"I experienced breathing difficulty (e.g. excessively rapid breathing, breathlessness in the absence of physical exertion)",0.4315069538143811
I experienced trembling (e.g. in the hands),0.6003405720751173
I felt I was close to panic,0.7956333124793442
I felt I wasn’t worth much as a person,0.5282212476371633
I felt down-hearted and blue,0.9046789524729449
I felt scared without any good reason,0.6158245688970587
I felt that I had nothing to look forward to,0.6481703000053156
I felt that I was rather touchy,0.8225483678951324
I felt that I was using a lot of nervous energy,0.8078808168292367
I felt that life was meaningless,0.6236214812736918
I found it difficult to relax,0.7997654130144374
I found it difficult to work up the initiative to do things,0.8802077147919256
I found it hard to wind down,0.8740153969340584
I found myself getting agitated,0.7986657415994004
I tended to over-react to situations,0.9189670868820825
I was aware of dryness of my mouth,0.6918672085736135
"I was aware of the action of my heart in the absence of physical exertion (e.g. sense of heart rate increase, heart missing a beat)",0.7908083433769894
I was intolerant of anything that kept me from getting on with what I was doing,0.64367305169826
I was unable to become enthusiastic about anything,0.7835994032598946
I was worried about situations in which I might panic and make a fool of myself,0.865982246085739
