,F1,F2,F3
"After seeing a play or movie, I have felt as though I were one of the characters. ",0.488038614751719,-0.10704610364325678,0.2801115771986679
Becoming extremely involved in a good book or movie is somewhat rare for me. ,0.33732736509796574,0.05830911936736955,-0.1648169919009914
"Before criticizing somebody, I try to imagine how I would feel if I were in their place.",-0.0038349708163010203,0.3763491171732795,0.3923307041407885
Being in a tense emotional situation scares me. ,0.06000663359553976,0.27130253112958724,-0.5081882654023893
I am often quite touched by things that I see happen. ,0.3773839537913166,0.10532288117920785,0.35764371297075553
"I am usually objective when I watch a movie or play, and I don't often get completely caught up in it.",0.1820600673264317,0.1744272295374319,-0.30855240207654805
I am usually pretty effective in dealing with emergencies. ,0.6641619494747784,0.06821859746344454,0.16471974183671104
I believe that there are two sides to every question and try to look at them both.,-0.2786830692355571,0.5826743804694318,0.2712400180795562
"I daydream and fantasize, with some regularity, about things that might happen to me.",0.07870459872913779,0.2834398537902663,0.5544862663096833
"I often have tender, concerned feelings for people less fortunate than me.",0.0017553583316641996,0.7811511695735941,0.00461736157900604
I really get involved with the feelings of the characters in a novel.,0.2543990259727179,0.6594836488114852,-0.03756822069250745
I sometimes feel helpless when I am in the middle of a very emotional situation.,0.1666665100753099,0.5123582208485953,-0.21891567677296453
I sometimes find it difficult to see things from the “other guy’s” point of view.,-0.2498959221930364,0.45581619965313513,-0.3567180668311823
I sometimes try to understand my friends better by imagining how things look from their perspective. ,0.15518631716096384,0.026972043001479165,0.7361440414552413
I tend to lose control during emergencies.,0.5804094091444811,-0.2817132092449397,0.046924838849527646
I try to look at everybody's side of a disagreement before I make a decision.,-0.1901265812477553,0.6724003387654645,0.05887455770233051
I would describe myself as a pretty soft-hearted person.,-0.053380967935447984,0.550524305568274,-0.40033009163573646
"If I'm sure I'm right about something, I don't waste much time listening to other people's arguments. ",0.561308313455555,-0.29701213857896863,0.20541557051935594
"In emergency situations, I feel apprehensive and ill-at-ease.",0.12654596158659384,0.14667302601001492,-0.11863063947856935
Other people's misfortunes do not usually disturb me a great deal. ,0.4744265629080695,0.18129220312123678,-0.5673968576159398
Sometimes I don't feel very sorry for other people when they are having problems,0.1801700462369704,0.15824960164141216,-0.5941946562667667
"When I am reading an interesting story or novel, I imagine how I would feel if the events in the story were happening to me. ",0.09877418954306,0.1042953060899078,0.1860271683994923
"When I see someone being taken advantage of, I feel kind of protective towards them. ",-0.021203300098403446,0.10242598520470157,0.3287580775645506
"When I see someone being treated unfairly, I sometimes don't feel very much pity for them.",0.5103198412742453,-0.31299696558044693,-0.1990964461949484
"When I see someone get hurt, I tend to remain calm. ",0.47743482317055663,-0.08118485555687192,0.009504225644900112
"When I see someone who badly needs help in an emergency, I go to pieces.",0.7112271526466193,0.034573724509172524,-0.2545455264135631
"When I watch a good movie, I can very easily put myself in the place of a leading character. ",0.4641515373023118,0.30837869187345834,0.4658305538762278
"When I'm upset at someone, I usually try to ""put myself in his shoes"" for a while. ",0.4724625107578111,0.3453851936798593,0.0640496038749073
