,F1,F2
"All in all, I am inclined to feel that I am a failure",-0.24087950261722182,-0.6098456123366852
"At times, I think I am no good at all",0.4302249462494008,-0.4192244627438707
I am able to do things as well as most other people,0.050161125013173546,0.28430509458984077
I certainly feel useless at times,0.8706449525141298,0.04451104291510664
I feel I do not have much to be proud of,0.018626874402593425,0.8654670002431429
I feel that I have a number of good qualities,0.6854046996392612,0.3696783146184848
"I feel that I'm a person of worth, at least on an equal plane with others",0.15140280023665897,-0.22481080161398276
I take a positive attitude toward myself,-0.6036897026182787,0.259082037944609
I wish I could have more respect for mysel,0.17059900433031544,0.19918329853758257
"On the whole, I am satisfied with myself.",-0.539172761771623,0.516037541550625
