,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
Assumes the best about people.,-1.677442558931097e-05,-0.06239997802483954,0.041804170332306614,0.07546371753782502,0.039358783342729686,-0.022822196281417913,-0.028373249306513748,0.0028521767267864068,0.0696456885747538,-0.07058283016282463,-0.01973071918449948
"Avoids intellectual, philosophical discussions.",0.21171921739110544,-0.022017976756638136,0.043119588812356634,0.19670402553596916,-0.09733458040485042,-0.06416597207556549,-0.07891736931638109,0.02865620775211372,0.07959939704115773,-0.06616042206008116,0.3355679660348404
Can be cold and uncaring.,0.13638386971453392,0.05276189169179635,0.010176128645224922,-0.06547906528010505,-0.0749942247874693,-0.19090570552787267,0.06366838409307012,-0.18087576594314395,0.10016523140161003,0.04958809964605324,-0.06817530603122583
Can be somewhat careless.,0.21380084252926687,-0.01893328815398221,-0.17805568479474185,-0.05308066866442479,0.014692609915172933,0.005273157853811834,-0.12259937809339533,0.14484055905931437,0.20777545703179012,0.04408831237387717,-0.26115648490452326
Can be tense.,0.19748405542093495,-0.11144038126452896,0.3185459283817434,0.042438899407149955,-0.08283742234378697,0.09283690755568626,-0.21316557810086004,0.05417587199414599,-0.13062550616330476,0.23548217278026967,0.11538483496963127
Feels little sympathy for others.,0.12298149576645265,0.16247645330933375,-0.122245272481111,0.15423261312298786,-0.17278415665916852,-0.05824595180464001,0.26971660951440024,0.1341423551344287,-0.040047479972567024,-0.07595087102581993,0.09685992698073624
"Feels secure, comfortable with self.",0.027219752648027114,-0.18090886685792948,-0.04429217157093074,-0.07353814281656501,-0.06017413990696591,-0.18007286392906796,-0.06534615199640487,-0.19852832795116962,0.07903359610151256,0.09398990498826462,0.05574989488029343
Finds it hard to influence people.,0.08352070218311793,0.22516118363581453,0.0021061926424224,-0.05893285090620487,-0.29633443240057095,0.0014511704874385495,-0.06737934542324328,0.06940655765189857,0.05592903855135453,-0.014350599161383565,-0.0727695271091397
Has a forgiving nature.,-0.027738274733699317,-0.045333187134008565,-0.11630422958670927,0.03312063623200062,-0.005031265796632614,-0.05237831648314621,-0.0835750499016027,-0.07765965304703198,-0.038123921450016626,-0.11035536510496807,0.07359301660086554
Has an assertive personality.,0.05819682357589529,-0.12750095062593675,-0.15765980429436058,0.02095412737149449,0.043359735197232796,-0.058506655443952414,0.009806001514257779,0.0958749362665379,0.00024889392544885647,-0.02887766575163543,-0.11671040818311987
Has difficulty getting started on tasks.,0.26124694396104664,0.011389768952458452,-0.05727517350370906,-0.1500229017361079,0.0824315169426757,-0.04033057192470168,0.10718511472586084,0.0014683793302581252,-0.16636322850670376,-0.05547783195486583,-0.2160345847480336
Has difficulty imagining things.,0.20008941121875065,0.0008702610714591063,-0.18088621872143343,0.07070624548982635,0.29844459030671283,-0.05768462566386805,-0.23753746915912186,0.14138029757266218,0.04127827709695353,-0.16856771815734795,-0.009980090223717389
Has few artistic interests.,0.10649581632289866,0.25113744696498563,0.014030500309565916,0.1962537519511554,-0.0321528656198335,0.10634644228672203,-0.16407835805600837,0.16540410678538786,0.16641440363999294,0.10365679118388041,-0.16005724578981786
Has little creativity.,0.15725698394852838,0.1545418678264487,-0.14414347045064962,0.09594821373154798,-0.020777117411568305,-0.01669376432245001,-0.1503202060240495,-0.02347085026616813,0.1138167826956922,-0.09335535911348378,-0.05929444016037342
Has little interest in abstract ideas.,0.139196768542019,-0.046409387574316334,-0.0627342400177952,0.5124122755444083,-0.19916628574357206,0.2738455709115007,-0.060483011947511774,0.017148636852668528,-0.2371146947565868,0.07513411697901556,0.0033384176779157893
"Is compassionate, has a soft heart.",-0.03692438204860702,-0.12617958859034206,-0.05219041007531219,0.04772939318920541,0.09005706396358217,0.03215452375062597,-0.0514382379711076,0.08909655324479904,0.12753713075615972,0.1620790583247825,0.08792324146082459
