,F1,F2
I feel relief rather than satisfaction after completing a task that required a lot of mental effort.,0.04023888705888916,0.6175492524078794
I find satisfaction in deliberating hard and for long hours.,0.7784208949780815,0.33248997257096535
I like tasks that require little thought once I've learned them.,-0.3288815120235096,0.5224334610388455
I like to have the responsibility of handling a situation that requires a lot of thinking.,0.29601882176033173,-0.41767073754660916
I only think as hard as I have to.,-0.04343704142062366,0.5771048909021991
I prefer my life to be filled with puzzles that I must solve.,0.5644204466370524,0.12061251383347371
"I prefer to think about small, daily projects to long-term ones.",0.071245214017575,0.714408590379821
I really enjoy a task that involves coming up with new solutions to problems.,0.03736108175003905,-0.34914230797480494
I try to anticipate and avoid situations where there is likely a chance I will have to think in depth about something.,-0.3361887723871794,0.43622348490997387
I usually end up deliberating about issues even when they do not affect me personally.,0.6165529665229013,-0.04715494267322036
"I would prefer a task that is intellectual, difficult, and important to one that is somewhat important but does not require much thought.",0.5523453983192059,0.018592555143106218
I would prefer complex to simple problems.,0.6437792470121552,-0.16490169946147978
I would rather do something that requires little thought than something that is sure to challenge my thinking abilities.,0.07840560195945713,0.7229347543191063
It's enough for me that something gets the job done; I don't care how or why it works.,-0.5954422965739483,0.43460930439281587
Learning new ways to think doesn't excite me very much.,-0.4927918511726078,0.07476297709117605
The idea of relying on thought to make my way to the top appeals to me.,0.6015688447103243,-0.18115528135924314
The notion of thinking abstractly is appealing to me.,0.5395920163684159,-0.163261408971606
Thinking is not my idea of fun.,-0.15135262051596513,0.47951410473910505
