,PC1,PC2,PC3,PC4,PC5,PC6,PC7
I am a steady person,-0.026039026076693256,-0.053164358798334845,-0.053366212965142705,0.050790773347904196,-0.02014593810397589,0.08030347305345889,-0.17690207706411162
I am content,0.027680562340863742,0.1626405360850806,-0.044037216215807536,0.005747853125699007,-0.04579283663660426,0.19325281782732473,-0.1537791849017065
I am happy.,0.04138660865888491,0.20778836083996594,-0.07243690597455256,-0.06925732769225774,-0.053958568085487546,0.04312822679860518,-0.02948426420140861
I am jittery,0.2963111782208185,-0.19068387674669238,0.23027882418539825,-0.004659590433544954,0.06105020657620448,0.2597832520660345,-0.02634265231755494
I am presently worrying over possible misfortunes,0.16674450841110094,0.13094940050409154,0.04688011336357513,0.03654308933492072,-0.32791405888038355,0.03449878137924779,0.19368821529034053
I am relaxed,-0.0024185987875410546,0.34234328226791283,0.19258273469560946,0.05474326191581258,0.11815158414155065,-0.030591899376853606,0.13752009383790678
I am tense,0.163365197918535,0.07166753978855492,0.18216960387081352,-0.048326152887663315,0.07190343724100753,-0.205379117887839,0.17467157836748187
I am worried,0.121999940028031,0.009555664097271658,-0.10443709966933502,-0.1801231271313206,-0.10176868853880529,-0.19218643679098507,0.10373231516120228
"I am “calm, cool, and collected”",0.08574487370456231,0.19326175972416418,-0.006884420941951922,-0.0789117331138508,0.22348389542162697,-0.10073935560848993,0.0595592781505635
I feel at ease,-0.0030079621445129705,0.22528037498775513,0.1498121297524305,-0.10807092385996783,0.38516736184766276,0.01825754237524592,-0.03620199818952662
I feel calm,0.004307884511997876,0.17837866780421907,-0.18043446585190343,0.08895143847725982,0.15643696463119003,0.14840870643027193,-0.07038059861766335
I feel comfortable,0.0520170724777264,0.4142741280015402,-0.015035921442891847,0.08783253494514755,-0.2481523816960253,0.20256628272340307,-0.0189732410084617
I feel confused,0.2968823736721818,-0.09806825562441922,0.22882323783838598,-0.20717095471435293,-0.15625091941374916,0.0871342650989139,-0.14756376799144694
I feel content,0.04950304024967091,0.13713895706247198,-0.00027947477061864695,0.04999506403951483,0.2040985867053303,0.1105069908704495,-0.10028655535910207
I feel frightened,0.24167849759413973,-0.22539694405356306,-0.14651589826558664,-0.01987424307663286,0.051430221126322166,0.27100106103842947,-0.02384198480360675
I feel inadequate,0.22371672978230175,-0.08527085327825769,-0.16931676436170615,-0.15767920269097965,-0.03512434333406619,-0.09016162526885348,-0.024300248011144443
I feel indecisive,0.06638130208799173,0.011585261972401506,0.19153320074033905,-0.14914167088230407,-0.12789502424003743,0.05771767521541439,0.1717858464546173
I feel like a failure,0.30903462202624055,0.0348790293625269,0.14662304159532719,-0.0156498329925316,0.2737198546474274,0.11019334551804905,0.08256267861906104
