,F1,F2
I am always looking to find my life’s purpose.,0.558985229291365,-0.27168947897936624
I am always searching for something that makes my life feel significant.,0.8819431171304105,0.08124998033611829
I am looking for something that makes my life feel meaningful,0.7267718486447703,0.08062655683375554
I am searching for meaning in my life.,0.8551162944071556,0.007960783560196994
I am seeking a purpose or mission for my life.,0.6084546937787206,-0.3025027661505699
I have a good sense of what makes my life meaningful.,0.050834702305761856,0.6106892781349533
I have discovered a satisfying life purpose.,0.28718529409088284,0.5564429352137189
I understand my life’s meaning,0.003885732622713461,0.8141148061875326
My life has a clear sense of purpose.,-0.13187840937542492,0.6801237519378116
My life has no clear purpose.,0.3381363981212549,-0.4041892349098822
