,PC1,PC2,PC3,PC4,PC5,PC6
"For me, life has been a continuous process of learning, changing, and growth.",0.012121344839961206,-0.07491365363962696,-0.01719033901659545,0.03266858625690793,0.07058363197598341,0.0719372473930145
"I am not afraid to voice my opinions, even when they are in opposition to the opinions of most people.",-0.020773815672667204,-0.07879713898904295,0.007991133975827604,0.017680696898651958,0.1572526201262881,-0.017177484661765455
I am not interested in activities that will expand my horizons.,0.09138338780124111,0.07575730828247908,-0.10163325626203543,0.009860616594455397,0.06287741807871872,-0.02209791856511538
I am quite good at managing the many responsibilities of my daily life.,-0.1176506553609664,-0.16643016882409495,-0.016906785410542496,0.025879097982125687,0.15502662804824632,0.08489696206171365
I do not enjoy being in new situations that require me to change my old familiar ways of doing things.,0.2065672100237738,0.0051903852905750055,-0.17280237567789733,-0.23420159692275755,-0.15794694721718078,0.3768388330462905
I do not fit very well with the people and the community around me.,0.04069478183816275,0.04225638989262774,0.04553874908740226,0.29087071466989445,-0.04213000247257252,0.26718003288354697
I don't have a good sense of what it is I'm trying to accomplish in life.,0.14642090873234162,0.05111434301084779,0.28381939199909134,-0.24386430009353308,0.16212155896259908,0.3678043443217164
I enjoy making plans for the future and working to make them a reality.,0.06941543423831525,-0.12988094129199276,-0.0618353619500873,0.10611557003445854,0.04028112910922755,0.09932253011657714
I enjoy personal and mutual conversations with family members or friends.,0.01226736495797781,-0.04848696646215446,0.023543142269965085,0.03508440536097668,0.1395505172084412,0.09701131225255137
I feel like many of the people I know have gotten more out of life than I have.,0.07313810878933931,0.02598826473224131,-0.11102694680699317,0.2261969867820522,0.07899251185351829,-0.08202750579651645
I gave up trying to make big improvements or changes in my life a long time ago.,0.22264544439816933,0.16176911105545774,-0.14879921635590862,-0.13809955896574289,0.2678918330653031,0.20740353390528182
I have a sense of direction and purpose in life.,-0.10989128072018506,-0.20669086043102522,0.12185523889577057,-0.05471842690167718,0.2827232690512121,0.044673314070331
I have been able to build a home and a lifestyle for myself that is much to my liking.,0.22655200100476205,-0.25706619460928865,0.05560005801811031,0.11620176860600542,-0.16531481360620737,-0.2755259270130166
"I have confidence in my opinions, even if they are contrary to the general consensus.",-0.01035727232597797,-0.17164754050472733,0.0462670519873273,-0.016216547975487668,0.11006560541999548,0.08459538373509816
I have difficulty arranging my life in a way that is satisfying to me.,0.17442641559600164,0.06055835296822003,0.12575592296996732,0.1450593337821972,-0.15081532189691152,-0.11414027508923487
I have not experienced many warm and trusting relationships with others.,0.00583840304904076,0.48010388774917306,0.32699682337904934,-0.1844868987022055,0.10566386308478787,-0.02593561328410892
I have the sense that I have developed a lot as a person over time.,0.0572515659149077,-0.2860255776662441,0.19398947351747886,0.12475940176819013,0.02093679777690457,0.26187515368745024
"I judge myself by what I think is important, not by the values of what others think is important.",0.08906069506654626,-0.17317939759178097,0.40790971181135627,-0.10261195178448665,0.06858695791881403,-0.29602589282708364
"I know that I can trust my friends, and they know they can trust me.",0.14507033355441953,-0.2404929939277645,0.17769906463965465,-0.2851087816096278,0.08777778515492345,-0.1270025113682273
I like most aspects of my personality.,-0.051254072002905056,-0.16354443177864203,-0.08666886199727664,0.0869972946736182,0.24625281658201267,-0.11691618052452604
