,F1,F2
I am really happy for myself,0.3867575033037564,0.17411749822243913
I feel ashamed of something I’ve done,0.09936811212324749,0.5615951536187763
I need to figure out what I should do or say,-0.03794078478308642,0.7656961463531271
I should have done something differently,-0.052333371317812676,0.6729712918979007
I try to anticipate what someone will say and how I’ll respond to him or her,0.6004945081906569,0.33356371948503977
I want to analyze something that someone recently said to me,0.7394167314184938,0.2797179789348805
I want to reinforce myself for doing well,0.03448983632889509,0.3795951470470433
I want to remind myself of what I need to do,0.6396447354154878,-0.4245728973164458
I want to replay something that I’ve said to another person,0.7192705197496942,-0.06941447286286044
I’m giving myself instructions or directions about what I should do or say,0.27672775956715223,-0.12267665853879464
I’m imagining how other people respond to things I’ve said,0.8672198064717324,-0.1120305310231915
I’m mentally exploring a possible course of action,0.4659489345000577,-0.048007527186400674
I’m proud of something I’ve done,0.3945492505130532,0.23567127242255992
I’m really upset with myself,0.0033466935003651052,0.5710916367767146
Something bad has happened to me,0.22222568413333113,0.54518499488038
Something good has happened to me,0.4934820606828923,0.1838734271343312
