,F1,F2
"At a party, I let others keep the jokes and stories going.",0.6455376210626951,0.13174638490418716
"At parties and social gatherings, I do not attempt to do or say things that others will like.",-0.00644681324397485,0.7713711022701337
"Even if I am not enjoying myself, I often pretend to be having a good time.",0.527514912331745,-0.5161621795055923
I am not particularly good at making other people like me.,0.3336591888707691,0.4904118724306792
I can look anyone in the eye and tell a lie with a straight face (if for a right end).,-0.31764169177259705,0.6564359451933418
I can make impromptu speeches even on topics about which I have almost no information.,-0.5349320716812164,0.3475666575547598
I can only argue for ideas which I already believe.,0.398858355661426,0.46850563431031295
I feel a bit awkward in company and do not show up quite as well as I should.,0.5212957006769697,0.03702957765148238
I find it hard to imitate the behavior of other people.,0.5359661644439385,0.3913770642930401
I guess I put on a show to impress or entertain people.,0.41563183284056465,-0.0021652439473798385
I have considered being an entertainer.,0.14379037289113034,0.1464532731044678
I have never been good at games like charades or improvisational acting.,0.6244804610004527,0.22610429186802405
I have trouble changing my behavior to suit different people and different situations.,0.06753350240724271,0.5789646431016368
I laugh more when I watch a comedy with others than when alone.,0.7112424429047649,-0.11671311078002782
I may deceive people by being friendly when I really dislike them.,0.5387359313104957,0.06968981449224304
"I rarely seek the advice of my friends to choose movies, books, or music.",-0.13809948878773126,0.2539667624890705
I sometimes appear to others to be experiencing deeper emotions than I actually am.,0.5970778825542588,-0.07664209082919364
I would not change my opinions (or the way I do things) in order to please someone else or win their favor.,0.21971714973563292,0.3508979814547794
I would probably make a good actor.,-0.4383697730162281,0.20592861816898173
I'm not always the person I appear to be.,0.7087903675294819,-0.0365337844216961
"In different situations and with different people, I often act like very different persons.",0.37276842204189164,0.02984339843452583
"In groups of people, I am rarely the center of attention.",0.4854930147100889,-0.39228296249023836
"In order to get along and be liked, I tend to be what people expect me to be rather than anything else.",0.46441026154370607,0.42825306078069925
"My behavior is usually an expression of my true inner feelings, attitudes, and beliefs.",0.3633764707082443,0.048719388209159456
"When I am uncertain how to act in a social situation, I look to the behavior of others for cues.",0.6334247029346985,-0.10187677154133015
