,F1
Even when it might be to my advantage‚ I have difficulty putting up a good front.,-0.4665300673451868
I am often able to read people’s true emotions correctly through their eyes.,-0.6661811659710525
I can usually tell when I’ve said something inappropriate by reading it in the listener’s eyes.,-0.2916262300678879
I can usually tell when others consider a joke to be in bad taste‚ even though they may laugh convincingly.,-0.6097248008412436
I have found that I can adjust my behaviour to meet the requirements of any situation I find myself in.,-0.5583141423089921
I have the ability to control the way I come across to people‚ depending on the impression I wish to give them.,-0.4340110464725015
I have trouble changing my behavior to suit different people and different situations.,-0.5225559803093381
If someone is lying to me‚ I usually know it at once from that person’s manner of expression.,-0.3243418357531074
In conversations‚ I am sensitive to even the slightest change in the facial expression of the person I’m conversing with.,-0.46408426310629614
In social situations‚ I have the ability to alter my behavior if I feel that something else is called for.,0.2404106425925952
My powers of intuition are quite good when it comes to understanding others’ emotions and motives.,-0.37998012540214704
Once I know what the situation calls for‚ it’s easy for me to regulate my actions accordingly.,-0.33323179191721863
When I feel that the image I am portraying isn’t working I can readily change it to something that does.,-0.5882911480414743
