,F1,F2,F3,F4
I always declare everything at customs.,0.2313059227958418,-0.0073669435315776655,0.2783463576637742,-0.09415802113505749
I always know why I like things.,0.15824751679756427,0.39025271997447053,0.18825224529830378,0.21581813260440047
"I always obey laws, even if I’m unlikely to get caught.",0.18112718029963923,0.7248795579082026,0.03529903813529026,-0.013454115418885738
I am a completely rational person.,0.1719234548578739,0.40258827811496317,0.07370589553181107,0.2992662184155794
I am fully in control of my own fate.,-0.43687037316959293,0.5017600040882362,0.3421119172493759,0.12579405474466243
I am not a safe driver when I exceed the speed limit.,0.26095545602290116,0.26252757444983776,-0.37056058188406654,0.3056787704592657
I am very confident of my judgments.,0.4536200273425207,0.16842156056631563,0.31466009676428924,-0.1474789155470762
I don’t always know the reasons why I do the things I do.,0.7019563322300099,0.17016049676172657,-0.265990940371206,0.11601559186711838
I don’t care to know what other people really think of me.,-0.026003027183392566,0.3513241038630902,0.6222736120836343,0.33439411853054457
I don’t gossip about other people’s business.,0.17882108363510255,0.6944765486177842,0.19593066173327112,0.01729288960525689
I have done things that I don’t tell other people about.,0.5931895532371039,-0.1497936484222413,-0.01767975118940893,-0.32425074013689464
I have never damaged a library book or store merchandise without reporting it.,0.1439858851277214,0.38217598541581205,-0.051128923239221816,-0.07345789330495406
I have never dropped litter on the street.,-0.0018996754815540798,0.6055447251071714,0.09094256627704932,-0.1252334188101152
I have not always been honest with myself.,0.8388252434367589,-0.0408644928777631,-0.06673005744368213,-0.07012455348878814
I have received too much change from a salesperson without telling him or her.,0.017941616899696325,-0.3218554999209543,-0.13663556176398148,0.389884335188725
I have said something bad about a friend behind his or her back.,0.39036240761712304,-0.2395535069841433,0.1716566191196305,-0.1842631080063481
I have some pretty awful habits.,0.6610470907168785,0.3364700266179005,0.11095545133788527,0.144551936353384
I have sometimes doubted my ability as a lover.,0.7348860272135326,0.1609342934851582,-0.16878194467312074,0.17300544414198063
I have taken sick-leave from work or school even though I wasn’t really sick.,0.017300596035930486,-0.369611846978225,-0.039704980114603446,0.23274987268548428
I never cover up my mistakes.,-0.0875577396009355,-0.000924532967028942,0.6528173463544148,-0.110199738190644
I never read sexy books or magazines.,0.33001344131689014,0.2054396244043491,-0.22147255936900678,0.25946468830712766
I never regret my decisions.,0.05112834662630983,-0.2204147619349494,0.636312229673415,0.035502016995149814
I never swear.,0.009705694596801703,0.23560276929408813,0.7451321688750284,-0.0412291041311238
I never take things that don’t belong to me.,0.2801605223305793,0.29816415351631503,-0.3461344330405978,-0.25968536258214114
I rarely appreciate criticism.,-0.10854668570679607,-0.2888610602391005,0.07156829609535258,0.2643172180714461
I sometimes drive faster than the speed limit.,0.6922514631923528,0.03231138973323168,0.21517196895470084,-0.11648586274340361
I sometimes lose out on things because I can’t make up my mind soon enough.,0.052719452715258484,-0.06404628598700005,-0.2736072260406085,0.48868541329414267
I sometimes tell lies if I have to.,0.8575977193450437,-0.12272247058427282,0.13184231557114637,-0.01524362667896452
I sometimes try to get even rather than forgive and forget.,0.013541342473608454,-0.177278041077952,0.01056547052276666,0.2230622973320029
It would be hard for me to break any of my bad habits.,0.8583298523094824,0.08156894307536999,-0.09531509495197117,0.010704028488595712
It’s all right with me if some people happen to dislike me.,0.07729671737194302,0.338226857119362,0.1991640341249603,0.05177801633803578
It’s hard for me to shut off a disturbing thought.,0.4493032412211753,-0.150893224758387,0.43964704884689254,0.29312714368427567
My first impressions of people usually turn out to be right.,0.0030316882364950968,0.06411630301982321,0.12778284147471428,-0.1340726025715001
My parents were not always fair when they punished me.,0.13644799761943505,0.22148865825975983,-0.45157484773467826,0.2974727205940127
Once I’ve made up my mind other people can seldom change my opinion.,0.35502779767574694,0.4822445665354459,0.035199090892755844,0.19511823066868195
The reason I vote is because my vote can make a difference.,-0.13225248326521816,0.18117162485309832,0.1327988238891805,-0.06357840668576835
There have been occasions when I have taken advantage of someone.,0.17470322687685963,-0.7128151961677333,0.34306677369057387,0.25282257118039675
"When I hear people talking privately, I avoid listening.",0.021977308317619786,0.07834678208945238,-0.5828196767619572,0.36143479297360537
When I was young I sometimes stole things.,-0.10028720774270738,-0.2102483809822088,-0.0015154507624200752,0.7390333061217468
"When my emotions are aroused, it biases my thinking.",0.5677429726038912,-0.23306860847323027,0.13675018360918392,-0.05260108639946102
