,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
I am free to express my ideas and opinions on the job.,-0.09975097569655428,0.1758127376221016,0.18182337183928074,0.22058332492602772,-0.12107003639684985,0.07669321724619088,-0.0037451671454886704,-0.03301703877170176,-0.13736231358800075,0.060815612759027665
I consider the people I regularly interact with to be my friends.,-0.1228879285731238,0.14695975668690114,-0.17733219630485342,0.11121506833137818,-0.051566831345581376,-0.0313625524607153,0.13988662297077334,-0.18125185189222118,0.061175689993896804,-0.003661619862689841
I consider the people I work with to be my friends.,-0.149102862416907,0.13376208851782784,-0.17590923350139975,-0.00761619156609028,-0.13259311235950885,-0.03900928645039361,0.08505721546227235,-0.21543444818369412,0.083971926898448,-0.08848667990393107
I do not feel very competent when I am at work.,-0.05843823151842986,0.13101886147692354,-0.048060537130023256,0.06618007225437506,0.22849417109130085,0.13308740732015223,-0.0037570539282856807,-0.1387796646389357,-0.025809989070090304,0.13376656665497505
I feel like I am free to decide for myself how to live my life.,-0.22777404419250016,0.17494753929778953,0.05051774588943614,0.03735803133624709,-0.08534415751477033,0.2913372740872363,-0.20436376621585,-0.05464030599711033,-0.07955942482432216,-0.057572211189067635
I feel like I can make a lot of inputs to deciding how my job gets done.,-0.207832581425243,0.1341820123377152,0.10415703657893621,0.24995785519349778,-0.17997493813366605,0.33374957717824066,-0.11738051152464479,0.2269575330175994,-0.06413142980879397,-0.04937883965405411
I feel like I can pretty much be myself at work.,0.09462494712178168,0.09808480719289704,0.21960917490241355,-0.09993451996651531,-0.12133713135063161,0.05016563859729282,0.07748991697557911,0.140586497889705,0.13178958744509153,-0.08462763236292456
I feel like I can pretty much be myself in my daily situations.,0.06265074709942618,0.11154766180645959,0.18191438255839065,-0.10136966404209746,-0.09384179183530966,0.006442564073772042,0.22135335968411513,-0.10201562570276387,0.007518499176705884,-0.1346011250243684
I feel pressured at work.,0.01576693089145449,0.17314705928002136,-0.06975453473358788,-0.04129811168160835,0.16859221056482632,-0.11972497173370283,-0.15671422935944612,0.005391010533553259,-0.17832414275224703,-0.03055189257042301
I feel pressured in my life.,-0.019528937414972376,0.13995373009603992,-0.09644611823894442,-0.11673327498610214,0.13668134246413438,0.022613659553387247,-0.05705924070302493,-0.03818854464808849,-0.1250215512757072,-0.3893058883290819
I generally feel free to express my ideas and opinions.,-0.061096619238200915,0.014849817220843007,0.11445324779090456,0.06394346798775634,0.024126056285172004,-0.008713316717042133,0.07042031033840071,0.02326045450916192,-0.016147582628090795,-0.021991230625986846
I get along with people I come into contact with.,0.07429613674569599,0.11706277651598436,0.1302934193357589,-0.1331477428750918,0.033866279537735425,0.029171092949795585,-0.010072392543444922,-0.048394060962125784,0.1738252180311366,-0.11172869770898855
I get along with people at work.,0.1228394075106906,0.11639787768470565,0.06291371010706287,0.009557776776147317,-0.11700821025532557,-0.06289009827995751,0.006718942385676455,-0.03018342744200374,-0.007359106760993078,-0.08511899528143523
I have been able to learn interesting new skills on my job.,-0.13060322672023714,0.1747380504741703,0.12680243675622918,-0.12763917986052267,0.12757076713306228,-0.05772412037861774,-0.08859348867995624,-0.1637806209732608,-0.12325819890989285,0.13977655310532552
