,PC1,PC2
A strategy I use to help me remember written material is imagining what the writing looks like,0.2317788838540007,-0.10122541091831207
I can close my eyes and easily picture a scene that I have experienced,0.2640387758405585,-0.028169764512740884
I can easily choose to imagine this sentence in my mind pronounced unnaturally slowly,0.16351048991237752,-0.03651791977776859
I can easily imagine and mentally rotate three-dimensional geometric figures,0.14632837164865517,-0.061694251238735336
"I can easily imagine someone clearly talking, and then imagine the same voice with a heavy cold",0.07094770944881766,0.2968814129503698
I can easily imagine the sound of a trumpet getting louder,0.05262634997694548,0.06723376023754359
I find it difficult to imagine how a three-dimensional geometric figure would exactly look like when rotated,0.05037215556295312,-0.20964616481532874
I hear a running summary of everything I am doing in my head,0.20899053322532188,0.052655806544499764
"I hear words in my ""mind’s ear"" when I think",0.1720728506333205,0.17472815746703557
I like to give myself some down time to talk through thoughts in my mind,0.22430972577500113,0.0841725484653397
I often enjoy the use of mental pictures to reminisce,0.2791050131031919,-0.010411109040001785
I often talk to myself internally while watching TV,0.18167762685405325,0.07618615905728636
I often use mental images or pictures to help me remember things,0.2742015710052712,-0.10855133070890523
I rarely vocalize thoughts in my mind,-0.06128910010975223,0.0512692565822285
I rehearse in my mind how someone might respond to a text message before I send it,0.08639843216061643,0.21454338476508658
"I see words in my ""mind’s eye"" when I think",0.24119412002928162,0.14045052104849975
I tend to think things through verbally when I am relaxing,0.09257159137338741,0.0780422835534091
I think I have a large vocabulary in my native language compared to others,-0.01996557486021467,0.05022301464798389
I think about problems in my mind in the form of a conversation with myself,0.1257718287214677,0.23057737062312034
"If I am walking somewhere by myself, I frequently think of conversations that I’ve recently had",0.1940012927024695,-0.04703640058396579
"If I am walking somewhere by myself, I often have a silent conversation with myself",0.13680003613085964,0.03621391977983827
If I imagine my memories visually they are more often static than moving,-0.0439989148482815,0.004508045034932389
If I talk to myself in my head it is usually accompanied by visual imagery,0.21438931632312272,-0.14953524850007002
"In school, I had no problems with geometry",-0.002187108053059028,0.30161291729441153
It is easy for me to imagine the sensation of licking a brick,-0.13276981188709835,0.37089781937182414
My inner speech helps my imagination,0.0021956903162702684,0.2213324378924905
My memories are mainly visual in nature,0.15792537775158894,-0.039535823567942045
My memories often involve conversations I’ve had,0.14482844417280927,0.3418615639146472
My mental images are very vivid and photographic,0.1873768844531566,-0.05356230724477283
The old saying “A picture is worth a thousand words” is certainly true for me,0.05654759256987318,-0.14189196017192934
"When I am introduced to someone for the first time, I imagine what their name would look like when written down",0.15408834025004245,-0.07118471011054985
"When I hear someone talking, I see words written down in my mind",0.10698576711234026,0.24907845490653757
"When I read, I tend to hear a voice in my ""mind’s ear""",0.25803695424381506,0.001760204232747862
"When I think about someone I know well, I instantly see their face in my mind",0.25025999164537205,-0.022181646298586388
"When thinking about a social problem, I often talk it through in my head",0.09102113357613678,0.19754900875049752
When traveling to get to somewhere I tend to think more visually than verbally,0.18814977671215427,-0.32782929758571633
