,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
Even in an emergency I wouldn't feel like panicking.,0.15208782026523704,-0.15003042476387818,0.09950591948754606,0.05049256651324684,0.09507670432541158,0.09604799107685928,0.12521462324298221,-0.03556780959140681,0.12700520730753662,-0.05006942545971821,0.00027776612630664075,-0.07229975712162766,-0.02498089815782368,0.08331627061727492,-0.15483414125580144,-0.0469335224346719,0.13546504660394054,-0.03588534548006709,-0.12088231526908542,-0.06751789200955037,0.2887751014282841,0.018450955910915553,-0.11108622543394672
"Even when people make a lot of mistakes, I rarely say anything negative.",0.02376237238753365,-0.07925167574439733,-0.025885566516240955,-0.15675966617462778,-0.10744660233557454,-0.12428710786411003,0.029606135538580394,-0.11710477682937181,0.26077949088578545,-0.0014795254949088725,-0.07372235427521899,-0.08700322760917262,-0.04664639130270819,0.223601004121715,-0.14837908194979346,-0.07918859104716143,0.05313991908387014,-0.06962969903056368,0.039314150195876175,-0.027078680361533738,0.006217670186474089,0.03004467501179021,-0.3306188622490451
Having a lot of money is not especially important to me.,0.06643497603402151,-0.07845122601262751,0.032549928305588935,0.12210889052077717,0.1019272427112671,0.13033935166127483,0.06754944582901666,0.24149575667169965,0.129057135035491,-0.031557696087308025,0.19316803934326243,0.002537394673437149,-0.09063893994856743,-0.09117959641216083,-0.10080480557873371,0.13733571062038497,-0.12445566757453944,-0.019154813409371994,0.11692911257235576,0.12445382433797819,-0.01646120263188667,-0.05814679476132517,-0.20440809133354368
"I always try to be accurate in my work, even at the expense of time.",0.09177879917785593,0.023968902580127377,-0.09567207008523602,0.17331484232142166,0.09854338757172211,-0.10044991116381533,0.051674008640558024,0.08386711897591183,-0.07934330447596427,-0.16104849559481443,0.03461324887978216,0.03769189909677255,-0.0967023085507528,-0.1111460222677679,0.13269757315259706,0.03877959130040213,-0.07981601014462446,0.07149192467506413,-0.04042431342959435,0.0005270532018652941,0.11908621588077427,-0.08272447156470367,-0.11382960651551423
I am an ordinary person who is no better than others.,-0.09755961855634138,-0.038513754399442615,-0.05845812193315773,0.1934497637957851,0.23311925287257568,-0.09548596611861777,0.15079841576451114,-0.0493530315130093,0.19623569410391006,-0.03593021495461457,-0.009045444795918492,0.14740937985741054,0.14033103796065913,0.08197516169131477,0.08725192433328109,0.07995735565013555,0.18064526755459687,-0.019202892653607605,0.001417003901639882,0.016064721019663525,0.06758332340775762,-0.12341970642518652,0.1360876805821134
I am energetic nearly all the time.,0.19475830678717201,-0.0056215995338965005,0.1005724761331088,-0.007432185409472862,-0.0351424259588968,0.033092179529913175,0.09720283019898053,0.0772543710607208,-0.06198309728105163,0.16082430631214528,-0.05465853261975403,-0.0691095408432609,-0.07563788644832532,-0.03694443548697737,-0.10718590296605754,0.1608981406587533,-0.020424698382074176,0.06747610160226633,0.13171044335048324,-0.08296558765746855,-0.03808805604280134,-0.13341511079566487,-0.08982625038639189
I am usually quite flexible in my opinions when people disagree with me.,0.10352397247617952,0.03094530072742597,-0.13441459143115084,-0.04781468567194051,-0.0297345934396121,0.00034029999638735957,-0.06985328413595039,-0.002635967497108085,0.18633230437353177,0.05861709119833461,0.09819386729506188,-0.014805622155875739,-0.03902283454116586,-0.11042482501661993,-0.16306147096538884,0.06844827862030319,-0.06125687483034644,0.11110130640868675,-0.056032734377354995,-0.0708331414777899,0.3105459555223781,-0.1265645855639128,0.07617886778547237
"I avoid making ""small talk"" with people.",0.037300698072077663,0.043207354508740296,0.0247426481740975,0.11708945010756074,-0.02667434457718124,-0.03324477124288901,0.13020052164670537,0.14366529903036812,0.023517187554442435,-0.14158808363276273,-0.01714033513032442,0.09886575221942934,0.15282326247371292,-0.16125689981240976,0.06235321721120917,-0.003405141932400583,-0.03870938585036377,-0.06965184233145316,-0.22219291305295216,0.0844296485246983,-0.2970606068548147,-0.1341151473538274,0.11782095331179007
I can handle difficult situations without needing emotional support from anyone else.,0.17833499470973616,0.033925435680380804,0.00927431586040497,0.1904609096457117,-0.005352304156123758,0.031166634128913264,-0.2576276455096998,-0.21825979952717192,0.0999369626297098,0.052925019808111984,0.017736699995896894,0.009515179165925074,0.16226941661574032,0.13240247511858802,0.13104976653079126,0.19356085126759803,-0.04552344845613241,-0.13310791098368388,0.11799433727279386,0.05373204439707534,-0.016444040818703362,-0.2835759131270856,-0.05619962968554034
I clean my office or home quite frequently.,-0.09343355870687133,-0.10134728785098612,-0.11922612591596413,-0.010383709300762236,0.15830315935090913,0.07016099542792277,0.011849853493527018,0.06335439722505905,-0.014203804047178198,-0.11869513931544443,0.029541027474011036,-0.08022018475841385,-0.05436280244476951,0.1318764550676127,0.1048307063008598,0.18535058395916784,-0.07652003215309981,0.12649533261007775,0.026234581838975167,0.0865474329354699,0.15269040861083735,-0.049487337294735624,0.10908431258970847
I do only the minimum amount of work needed to get by.,0.2176765823780101,0.05638758234419114,0.07317524128675361,0.08427213329022326,-0.11245845133527485,-0.004522635933090824,0.040586346441362865,-0.00390278227904716,-0.0910590627197391,0.02082987678695166,0.11041378962771381,0.11381825707051015,-0.15431391567803907,0.05823618357432777,-0.033428670710080925,-0.10359514872440198,0.009558480649687943,-0.001223785568639084,0.03803439916781749,0.03611718052112958,0.034265580013167846,0.13887647055410335,-0.03565754037974478
I don't think of myself as the artistic or creative type.,-0.14239296305468402,-0.08879668995800047,-0.12937693528584987,-0.02845002817352301,-0.08751115371038662,0.22772958667435755,-0.08580190670610605,-0.022328579761875526,0.08134617609106226,-0.0477582771183582,0.05944198310569827,0.12910361854033714,-0.01194070970153253,-0.14447534080924046,-0.030606181932172186,-0.033529723824455744,-0.033254098877387964,-0.04000876375974749,0.08572045080277133,0.018713453909384583,0.06725779454707977,0.05843998571128177,0.06411166747444405
I don’t allow my impulses to govern my behavior.,-0.16908446048776574,0.04880571875168765,-0.1030568569611416,0.03484327668851804,-0.04587443651742154,0.03788352746189725,-0.060932068661001565,0.10440263344060201,-0.02554033932636202,-0.08307436149968962,-0.2611772201381766,0.059183249888182486,-0.016285381602044166,0.08233636695656268,-0.19198641632379584,-0.07125020513073384,-0.13557103964501885,-0.05196946702946221,0.08010937381836057,0.03809367952628012,-0.02517977604798279,-0.18763995922707358,-0.06432213167650737
I don’t mind doing jobs that involve dangerous work.,0.1124354568869406,-0.0582996297987464,0.09199666620361227,-0.1294430503706866,-0.009725733332261474,0.010703400797565064,-0.0867124832428069,0.05193813095893664,-0.11470201003524934,0.0183274819770597,-0.11179039620413563,0.19338426413415458,0.24283536258367705,-0.09213905719728585,-0.13258771113884119,-0.03191529666850219,0.011026930592010846,-0.05055478679157502,0.03523672157745151,-0.08233176379760278,-0.07570723589689453,-0.0288031620088826,-0.06626687378718228
I enjoy having lots of people around to talk with.,0.10156694406069783,0.025237043625939325,-0.13193096254699668,-0.0701762425596254,0.00876247042136949,-0.018787187680737248,-0.058762638228924156,0.08106602917118767,-0.008995961891123967,-0.01962139629735838,-0.02907580043203171,0.06790534220090363,-0.043948817784055086,-0.0030655791290058604,-0.06626348257651547,0.15331369643257736,0.10105434841016005,-0.11076229795656908,0.1273425955422729,0.09839304949051642,0.07126776118194858,-0.19626716838296443,-0.10394414841099607
I enjoy looking at maps of different places.,0.004970257086927336,-0.13331380990247255,0.029695832266834456,-0.12088647391253246,0.12189209306730604,0.008923476286012063,-0.119679251519723,0.020099696660014234,0.1913176971311246,-0.011250860102138197,-0.15024147605874122,-0.09315535960764901,0.022412103441891026,-0.021785460855961263,0.1532116058038162,0.05470975335584541,0.17237766851689199,0.005328589084856392,0.00655947869841705,0.05116222912137045,0.03028489915754395,0.037172626872480415,-0.09465527961201034
I feel like crying when I see other people crying.,0.07879034658878205,0.026895256631924186,-0.07632326544619236,-0.07248363597704854,-0.030995889836573906,-0.072183626861304,0.08641767213704776,0.1074439329536346,-0.034726512513454544,0.09551341385640903,0.05274952284741151,0.07791336941516627,0.010025002163706494,0.007127028646270354,0.04156211782490164,0.10962458926323819,-0.14242181954905533,-0.0645073291613024,-0.023435959570992086,-0.0847164017254497,-0.010795471873544437,0.02479463801568137,-0.013507883623224397
I feel reasonably satisfied with myself overall.,0.08177280434237759,0.02329348631831032,-0.055382817071413584,0.08111312437524898,0.04857111185094062,-0.09018144131407618,-0.0008759035864150661,0.03009562651075555,-0.019084932723188737,-0.06230685045220164,-0.0782707537688155,-0.07209230566494117,0.013410031438438932,-0.07039803638429071,0.03744172764844417,-0.013316270645555227,0.03767573150342341,0.08555720202787484,-0.014036802350317183,0.0205687262032393,0.05896109298634223,-0.03629418322486192,-0.03875157820994353
I feel strong emotions when someone close to me is going away for a long time.,0.03655364010014912,0.09353813484210376,-0.028893689076926077,-0.03911902154601799,0.05016608325790228,-0.13837778268640577,0.010882891898790327,-0.09519174220903656,0.04573274979269579,0.019826852469323347,0.02215925977520857,0.01767920717364247,-0.1914793477807637,-0.07119764701113065,0.06544270370301547,0.014606381410333963,-0.03433576483552105,0.015273155817548697,-0.21759722068385454,-0.10730586847004128,-0.06303291971678446,0.04441197987512103,-0.15243008820083723
I feel that I am an unpopular person.,0.054472861154042734,-0.06322459869098938,-0.021426512667400522,-0.021329541887773987,0.009101281874794094,-0.03730740782401304,0.03670809887417073,0.03219749176079024,0.013369484569439682,-0.10215465601376343,-0.14582129475967126,0.21795451258947934,-0.09935245873478513,-0.09945996651381571,-0.10065924040766965,-0.09372342318173794,0.19894455385308654,0.16504646044963156,-0.05177229330683922,0.07203219605397823,0.04454467347509298,0.09495261108319077,-0.06346815640884172
I find it boring to discuss philosophy.,-0.0988409234700975,-0.03657420324927157,-0.06648912381221396,0.022330639087707622,-0.15195856245395814,-0.0015622830735843613,-0.08928228868833005,0.04119818084490873,0.024093989021319377,-0.07789303925699631,0.01732689694637605,-0.04711992671788248,0.06872094135708692,-0.12485291539124012,0.06651997761527043,-0.02591619375256722,-0.09204410187089124,0.007064646943334348,0.08483083933287108,-0.008016616764068589,0.13134667240404635,0.07300293912355331,-0.028416832968723185
I find it hard to compromise with people when I really think I’m right.,-0.08028979088630735,-0.135771169107055,-0.057775471898413214,-0.1628700811444795,-0.08499671575912816,-0.1603482050821721,0.10361614151487289,0.08078267979337624,0.12282044304338492,-0.09966543207259655,-0.08824544147668166,-0.12768532980090835,-0.10105044150051917,0.020261510547766783,-0.18409495778697818,0.11068768956212974,0.0774168828189376,-0.07754539035923204,0.1257049959845962,-0.051694243718640356,-0.018364493122494024,0.049506733194962245,0.08920368779067672
I find it hard to fully forgive someone who has done something mean to me.,-0.14483352043466485,-0.022475714213463577,-0.07901957139794523,0.01855355004288684,-0.08887245578685542,0.039045673769405376,-0.049268394924791827,0.05694754466066726,0.1194438758043612,-0.03863556489003445,0.028661574655290234,0.03949120595548698,-0.11925700510501402,-0.013801903490308033,-0.03206038159878527,-0.16507386855819492,0.031696885047927746,-0.27718694090574575,-0.012500895163382668,-0.10334774254567743,-0.16910480940797246,-0.16676071566968162,0.022901662268319627
I find it hard to keep my temper when people insult me.,0.11561150907687194,-0.0565268785095406,-0.11907686232069044,0.0798302004866984,-0.033805971548774544,-0.2663132849181175,0.02091092896490132,0.023004461222548258,0.0007920326007331299,-0.0857515354094948,0.15482650540022677,-0.23463431664927992,0.19024860251614503,-0.18999573334257072,-0.05348273789599711,-0.17420860590670875,-0.10151887693418621,-0.093767200387481,0.12383030007464967,0.022560158707735416,-0.142600416134186,-0.19001524132199266,0.06315450225246373
I generally accept people’s faults without complaining about them.,0.11329634104722983,0.05979635832328493,-0.0980559040450669,0.027203654369437495,-0.047057848390869225,0.04316039464064675,-0.03731999434278697,-0.1583268315675813,0.29520214224257013,-0.0012274345940800967,0.04245658760945627,-0.0530176868020217,-0.10155378176691884,0.007359725786221897,-0.07183018075945288,-0.054903359530658793,-0.03384154009643278,0.03053891159851144,-0.07915474438504755,-0.07834155066416512,-0.18107514171412073,-0.12027435265213186,0.13011442862018494
I get very anxious when waiting to hear about an important decision.,0.09581177777220537,-0.010531479374031642,-0.12094473988719329,-0.09125530125563826,0.062322312216041106,-0.0075007710967070875,0.057286471459691256,0.002780600063442684,-0.006498756149477112,0.07525697098683921,0.1877625219538435,0.07276950892715442,-0.061854805785666864,0.020063436376340962,0.09024573511656708,-5.74839287960973e-06,0.019933174137695988,-0.012605806076940795,-0.02985529690749517,-0.044554273381235555,0.007786709100600422,-0.04801203656675852,-0.000990920502746078
I have sympathy for people who are less fortunate than I am.,0.07793388546561884,0.000857073387140121,-0.051624923910529266,-0.018864342721750325,0.08778474196396586,0.021706931202397733,-0.03174758096560476,-0.12791491543064953,-0.16207546141333184,-0.030016302487242585,0.05550271229395274,0.041197580296556235,-0.12278359854306842,0.10654015796995742,0.044732903488254094,-0.04167821077533095,0.20035730505885394,0.059106317156336324,-0.10495693753004404,0.006858040024816124,-0.09583118004407797,-0.14556767925019057,-0.007232919411281465
I like people who have unconventional views.,0.09491413359158657,0.009827876236795517,-0.067109918108804,0.09792751538400783,0.02855201794729881,-0.057745308035883354,-0.08456049082185407,0.009618365541013746,-0.07239123195889832,-0.0723947786558344,-0.16586291304988596,-0.1642448465139668,-0.09046509195877889,0.14404632521068425,-0.23735321687142988,-0.0885879089704676,-0.17311810707863506,0.036937184165908785,0.007636535752888347,0.013531912582556123,0.08437267495783173,0.007498175319025928,0.13126927233275681
I make a lot of mistakes because I don't think before I act.,0.01941808860466163,-0.17678144470381332,0.00666427207553859,0.02365644111555902,-0.1942560340224325,-0.1195860152679926,-0.12700371114890033,-0.0008947489429059031,-0.06905589962587955,-0.1564132496965723,-0.003836738054652956,0.1946845072308085,-0.05625770878747465,0.13727153428364555,-0.0017817279013271471,0.014277631371861024,-0.129780328065039,0.1120985604433146,0.002482579821521461,-0.04451513508055481,-0.026955438635739102,-0.028078973296020847,-0.011027445621697256
I make decisions based on the feeling of the moment rather than on careful thought.,-0.03515331506767121,-0.14977577736499892,-0.026822150899362757,0.15296319722044474,-0.162774137995674,-0.01476349854997541,-0.12761343497695846,0.03131306749473008,-0.06477869425595716,-0.007760213099541206,-0.0863065517183679,0.07993707737093554,-0.02314124224367464,-0.15947120129647968,0.05756695197042239,-0.08314071355010566,-0.04970388244019887,0.04441890744557647,-0.054630696368258104,-0.2619133930392195,-0.010950526754286087,-0.05365353406437539,-0.017063490876197858
I often check my work over repeatedly to find any mistakes.,-0.09895260293673816,-0.11655517974360402,-0.0836161329554204,-0.08994374819206007,0.01823359757537181,4.8985075535890754e-05,-0.0660290746709027,0.07253115276448842,0.08967030447041544,-0.09888944616428388,-0.012160958272567583,-0.0988093488779996,-0.059121049249931716,-0.03610701626700526,-0.11007207174340364,0.08321162230990282,0.1923182237931568,0.15024273597818788,0.14406879557904578,-0.045883222788911764,-0.13078773877954,0.11632628924476283,0.23453281032738355
I often push myself very hard when trying to achieve a goal.,0.07761170394430664,0.04479309730173452,-0.00805456599676556,-0.05118617663962514,0.05170453684131502,-0.07968291824951505,-0.04419340791582019,0.022215953299904685,0.019819603345954735,0.027136510846150777,0.06957168624420815,0.08407471458047605,0.11283298699920813,0.08993125521591591,-0.008479159966333395,0.040818665920789164,0.022470810307248523,0.020199878552685645,0.03086593096806349,-0.13717999280066082,-0.08747180054295575,0.022120838098374677,0.09444640705877537
"I plan ahead and organize things, to avoid scrambling at the last minute.",-0.058049692316347774,-0.05175691520987679,-0.020246306674270298,-0.07380652935879191,0.04323594881826336,-0.04254854222098484,-0.04873653963598618,0.04053019184098586,0.001037732007125385,0.03718256107896116,0.021279858660142884,0.0772236155123335,0.03575393905941653,-0.01107617289532691,-0.00457272733568573,0.026448549503841238,-0.0003281855433868028,0.0242878974042414,-0.02052076385816093,-0.032426867847489736,-0.02012882922984039,0.004753477413105202,0.005292592261111322
I prefer jobs that involve active social interaction to those that involve working alone.,0.13290873168818548,-0.03172974195735092,-0.12580622509082187,0.0009642336542241071,-0.08700536838060555,-0.13745482742581816,-0.019129956823124305,0.1675258659894657,0.07927597808427567,-0.03340461928482481,0.02941126609167814,-0.018343923871120965,-0.11678001687554622,-0.0039029660576726027,0.022455433963749136,0.08104097492632183,0.12780281433562782,-0.13136946686806295,-0.06599502293639375,0.04254720065302288,0.10495258425169433,-0.00981570715486588,0.10042008377060438
"I prefer to do whatever comes to mind, rather than stick to a plan.",0.08173975151777275,-0.14278246750317836,0.029802433474339616,0.0815958574725516,0.07944637246581908,0.19446760912174835,-0.10412730771455904,-0.04613654410695573,0.11504644505698397,0.08960597949993743,-0.03069632108692072,0.08675319177787513,-0.057823898455879374,0.019677767513886245,-0.12258560840330476,-0.005260341932107762,-0.01269551433589927,0.058215296809928395,-0.1980314714109609,-0.19583016242307466,-0.16768943971762948,-0.1577531644083757,-0.12837695890483936
I rarely discuss my problems with other people.,-0.03794240163862585,-0.07983581589208771,0.044810103412429976,0.12204437295000432,0.012273183372440861,-0.11619431145859768,0.07180002103364842,0.0452870303941236,0.09716612036441886,-0.2037507916225996,-0.0435060212682433,0.15081508888338635,0.09712239285502343,0.1577225005506615,-0.029502255783418238,0.20501226850223433,-0.2308878061144584,-0.022729568599293547,-0.012470388784355404,-0.20564485729753132,-0.06639751914483143,0.09124649980036349,-0.17838460562147576
I rarely express my opinions in group meetings.,0.09429470383321223,-0.19566996125051708,-0.011343563536772048,0.06081508354794882,-0.046260147975868145,-0.05077657443043331,0.12075691230535016,-0.08623622139500087,0.0999073843435993,0.01582383720194416,0.062431088645826416,-0.0003340075024414896,-0.05326301199837211,-0.009135499443835439,0.07649258643626641,0.06477081658177043,0.03553459588648572,0.0634697623497886,0.30772312278588443,-0.2036524897097514,0.13154027882969352,0.008689111899258951,-0.08220341396030423
"I rarely feel anger, even when people treat me quite badly.",0.0947311078462707,0.008268226408435055,0.03476307511961751,-0.16925906304145427,-0.05532428006076001,0.17880149287554742,0.038267313827336204,-0.05323429806898331,0.06935612366716751,0.017415424361474835,-0.014123244136057393,0.11799199739675505,0.07315027368141212,-0.014273117643746263,-0.09604940946639913,0.04007307574629739,0.0388934442524486,-0.03724976700189274,-0.07997842367950686,0.06652256820002135,0.10084830802668536,0.06823409386262051,0.057704804477725066
