,F1
A person's family is the most important thing in life.,0.6008216161651316
Criticism or scolding hurts me quite a bit.,0.7286252134357417
"Even if something bad is about to happen to me, I rarely experience fear or nervousness.",-0.18299546558424507
How I dress is important to me.,0.3004761437187187
I crave excitement and new sensations.,0.783071356583539
I feel pretty worried or upset when I think or know somebody is angry at me.,0.6240067964960995
I feel worried when I think I have done poorly at something important.,0.7962333378619205
I go out of my way to get things I want.,0.5949610614025606
I have very few fears compared to my friends.,-0.32119688076622005
I often act on the spur of the moment.,0.33376849039457396
I often wonder why people act the way they do.,0.46828557760381095
I will often do things for no other reason than that they might be fun.,0.5303535204714368
I worry about making mistakes.,0.7363183533134516
I'm always willing to try something new if I think it will be fun.,0.5690246541588413
If I see a chance to get something I want I move on it right away.,0.30158944714149677
"If I think something unpleasant is going to happen I usually get pretty ""worked up.""",0.7506571399083242
It would excite me to win a contest.,0.7744388705461195
It's hard for me to find the time to do things such as get a haircut.,0.3413082959555983
"When I get something I want, I feel excited and energized.",0.7507044795162551
"When I go after something I use a ""no holds barred"" approach.",0.4343145345838127
When I see an opportunity for something I like I get excited right away.,0.7397243748834738
When I want something I usually go all-out to get it.,0.36215161981739014
When I'm doing well at something I love to keep at it.,0.5441189485846181
"When good things happen to me, it affects me strongly.",0.7680285233434924
