,PC1,PC2,PC3
"Even when I’m feeling terribly upset, I can find a way to put it into words.",-0.027403219834252646,0.1731192485942822,-0.152582908948298
I am easily distracted.,0.19172076043380315,-0.05783459190036339,0.08869457412733098
I believe some of my thoughts are abnormal or bad and I shouldn’t think that way.,0.22176335198715982,-0.040314713385353695,0.05214044274395413
"I can easily put my beliefs, opinions, and expectations into words.",-0.051232297870203836,0.14465457776281793,-0.019380464409760545
I can usually describe how I feel at the moment in considerable detail.,0.18338904694506297,0.2644905874590172,0.07431687983227131
I criticize myself for having irrational or inappropriate emotions.,0.19258354463904903,0.14258770160465384,0.25324648905420866
I disapprove of myself when I have irrational ideas.,0.08261521549419844,0.21549043776848542,0.1382462319755335
I do jobs or tasks automatically without being aware of what I’m doing.,-0.03526856131255558,0.11645814376653621,0.44261891411019405
"I don’t pay attention to what I’m doing because I’m daydreaming, worrying, or otherwise distracted.",0.20425290634525603,-0.07991362119210382,0.10652839527140853
I find it difficult to stay focused on what’s happening in the present.,0.19589635115122508,-0.0646224509391688,0.08473042490759229
I find myself doing things without paying attention.,0.179479832979188,-0.09526961274286712,0.03366721604096693
I have trouble thinking of the right words to express how I feel about things.,0.17159405679652354,-0.12387933276524747,0.03585614139080768
I make judgments about whether my thoughts are good or bad.,0.05706044354899931,0.2920855117393173,-0.04768872800659765
"I notice how foods and drinks affect my thoughts, bodily sensations, and emotions.",0.20756467566582,-0.06509579158959737,-0.16683229257853913
I notice the smells and aromas of things.,0.27331653891498553,-0.010909099436233072,-0.04776377510506797
"I notice visual elements in art or nature, such as colors, shapes, textures, or patterns of light and shadow.",0.04810200332134683,0.15299805719310638,-0.17629275932447452
I pay attention to how my emotions affect my thoughts and behavior.,0.1770015176463923,0.25802372817478914,-0.0817745681275392
"I pay attention to sensations, such as the wind in my hair or sun on my face.",0.2576456242117289,0.052187805079535,-0.20689584967507713
"I pay attention to sounds, such as clocks ticking, birds chirping, or cars passing.",0.16837813553348507,0.012325650298503587,-0.3158804827268234
I perceive my feelings and emotions without having to react to them.,0.19210312447406885,0.20745856024355222,-0.011907935683735618
I rush through activities without being really attentive to them.,0.16879621227803557,-0.125723260139033,0.03407444354884496
I tell myself I shouldn’t be feeling the way I’m feeling.,0.18222036210519457,-0.07904743139026871,0.09434153415948536
I tell myself that I shouldn’t be thinking the way I’m thinking.,0.1407620659778749,0.05841261084693056,0.20137918702342958
I think some of my emotions are bad or inappropriate and I shouldn’t feel them.,0.20764348299687224,-0.06317650825930435,0.10237036169165827
I watch my feelings without getting lost in them.,0.03860736375430208,0.3542431761678442,-0.029840644814940816
"In difficult situations, I can pause without immediately reacting.",-0.10878564877235399,0.07594299367774252,-0.047636933524050636
It seems I am “running on automatic” without much awareness of what I’m doing.,-0.12134861182842917,0.003949499362650188,0.42713747339528846
It’s hard for me to find the words to describe what I’m thinking.,0.19394388201462395,-0.0598141589081216,0.15477288183182805
I’m good at finding words to describe my feelings.,0.03252470368034165,0.04157614819799678,-0.24906835006503192
My natural tendency is to put my experiences into words.,-0.12748061297160632,0.011751615665057651,0.024592368112708683
"When I do things, my mind wanders off and I’m easily distracted.",0.2107553152575721,-0.0629333469609483,0.042665656417305964
"When I have a sensation in my body, it’s difficult for me to describe it because I can’t find the right words.",0.16532227435478836,-0.052125047580828344,0.02715896599355326
"When I have distressing thoughts or images, I am able just to notice them without reacting.",-0.054086782763308104,0.2608999286980151,0.16293144990519617
"When I have distressing thoughts or images, I feel calm soon after.",-0.09499345491962968,0.1449441938540116,0.13091674354079685
"When I have distressing thoughts or images, I judge myself as good or bad depending what the thought or image is about.",0.20048653570486433,-0.13435875853578066,0.14363402726069244
"When I have distressing thoughts or images, I just notice them and let them go.",-0.061630656601047905,0.20665990218902067,0.10129824762871406
"When I have distressing thoughts or images, I “step back” and am aware of the thought or image without getting taken over by it.",0.03917871628308615,0.4072945206850715,0.02052098063657099
"When I take a shower or bath, I stay alert to the sensations of water on my body.",0.12261514550655947,0.21082048188786964,-0.19003772302673666
"When I’m walking, I deliberately notice the sensations of my body moving.",0.22796036387135984,-0.01648149626031157,0.016759486835045554
