questionnaire,item,item_index,r_pc1,var,n_models
Balanced Inventory of Desirable Responding Version 6,Once I’ve made up my mind other people can seldom change my opinion.,6,0.8288,2.514,49
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, my emotions feel overwhelming",35,0.8169,1.065,49
Basic Psychological Needs Scale,I consider the people I work with to be my friends.,29,0.8092,2.488,47
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I have difficulty controlling my behaviours",26,0.807,1.031,48
Five Facet Mindfullness Questionnaire (FFMQ),It’s hard for me to find the words to describe what I’m thinking.,11,0.8051,1.022,49
Five Facet Mindfullness Questionnaire (FFMQ),I believe some of my thoughts are abnormal or bad and I shouldn’t think that way.,13,0.8049,1.169,49
DERS (Difficulties in Emotion Regulation Scale),I am confused about how I feel,8,0.7976,0.617,48
CERQ (Cognitive Emotion Regulation Questionnaire),I often think that what I have experienced is much worse than what others have experienced.,28,0.7965,1.196,49
Five Facet Mindfullness Questionnaire (FFMQ),"I don’t pay attention to what I’m doing because I’m daydreaming, worrying, or otherwise distracted.",7,0.7857,0.977,48
Individualism-collectivism IND-COL,When another person does better than I do‚ I get tense and aroused,22,0.7822,2.957,48
Five Facet Mindfullness Questionnaire (FFMQ),I think some of my emotions are bad or inappropriate and I shouldn’t feel them.,29,0.7809,1.095,48
Meaning in Life Questionnaire (MLQ),I am always looking to find my life’s purpose.,2,0.7788,3.372,48
Five Facet Mindfullness Questionnaire (FFMQ),"When I have distressing thoughts or images, I judge myself as good or bad depending what the thought or image is about.",34,0.7764,1.128,49
Self-Talk Scale,I want to reinforce myself for doing well,12,0.7739,1.074,48
HEXACO,"When working, I sometimes have difficulties due to being disorganized.",73,0.7737,0.934,50
Five Facet Mindfullness Questionnaire (FFMQ),I notice the smells and aromas of things.,25,0.7714,1.54,47
Interpersonal Reactivity Index (IRI),Being in a tense emotional situation scares me. ,16,0.7712,1.063,50
DASS-21,I tended to over-react to situations,5,0.7676,0.832,49
MCQ-30,"My worrying thoughts persist, no matter how I try to stop them",8,0.7664,0.804,47
Adult Temperament Questionnaire,Sometimes minor events cause me to feel intense sadness.,24,0.765,2.917,49
CERQ (Cognitive Emotion Regulation Questionnaire),I continually think how horrible the situation has been.,31,0.7613,1.523,49
The Internal Representation Questionnaire,My mental images are very vivid and photographic,2,0.7601,1.508,42
CERQ (Cognitive Emotion Regulation Questionnaire),I keep thinking about how terrible it is what I have experienced.,29,0.7546,1.425,48
BFI-2,Worries a lot.,33,0.7542,1.266,48
Need for Closure Scale (NFCS),"I almost always feel hurried to reach a decision, even when there is no reason to do so.",21,0.7541,1.821,49
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I feel out of control",18,0.754,0.868,49
Basic Psychological Needs Scale,I feel pressured in my life.,3,0.7535,2.355,49
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I become angry with myself for feeling that way",10,0.7525,0.969,47
DERS (Difficulties in Emotion Regulation Scale),I have difficulty making sense out of my feelings,4,0.7514,1.147,48
Basic Psychological Needs Scale,I feel pressured at work.,25,0.7508,2.858,50
BAI,Unable to relax,3,0.7503,0.891,47
Five Facet Mindfullness Questionnaire (FFMQ),"When I’m walking, I deliberately notice the sensations of my body moving.",0,0.7495,1.078,48
State Trait Anxiety Inventory,I feel strained,3,0.747,0.911,44
Adult Temperament Questionnaire,"When I’m excited, it’s hard to resist jumping into things without thinking.",59,0.7463,3.51,48
Balanced Inventory of Desirable Responding Version 6,I sometimes try to get even rather than forgive and forget.,24,0.746,1.667,50
Schwartz_Values,I aspire to power,8,0.7455,1.446,49
Five Facet Mindfullness Questionnaire (FFMQ),I find it difficult to stay focused on what’s happening in the present.,17,0.7451,0.818,47
BFI-2,"Is temperamental, gets emotional easily.",58,0.7443,1.053,50
Adult Temperament Questionnaire,"Whenever I have to sit and wait for something, I become agitated.",30,0.7441,3.167,49
IRQ,"When I think about someone I know well, I instantly see their face in my mind",4,0.7438,1.847,50
Five Facet Mindfullness Questionnaire (FFMQ),I tell myself I shouldn’t be feeling the way I’m feeling.,9,0.7428,1.057,48
State Trait Anxiety Inventory,I take disappointments so keenly that I can’t put them out of my mind,38,0.7417,0.62,46
Five Facet Mindfullness Questionnaire (FFMQ),"When I do things, my mind wanders off and I’m easily distracted.",4,0.74,0.929,48
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I have difficulty getting work done",12,0.7382,1.086,49
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I become out of control",13,0.738,0.91,47
Varieties of Inner Speech Questionnaire-R,My inner speech contributes to me feeling down and depressed,23,0.7375,1.54,46
Meaning in Life Questionnaire (MLQ),I am looking for something that makes my life feel meaningful,1,0.7369,4.049,48
Interpersonal Reactivity Index (IRI),I sometimes feel helpless when I am in the middle of a very emotional situation.,9,0.7349,1.19,49
The Internal Representation Questionnaire,A strategy I use to help me remember written material is imagining what the writing looks like,25,0.7338,1.02,48
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I lose control over my behaviours",31,0.7333,1.0,48
Balanced Inventory of Desirable Responding Version 6,It’s hard for me to shut off a disturbing thought.,9,0.728,3.241,48
State Trait Anxiety Inventory,I am presently worrying over possible misfortunes,6,0.7277,0.562,47
Adult Temperament Questionnaire,I often feel sad.,55,0.7242,2.255,48
DASS-21,I felt that I was rather touchy,17,0.7234,0.585,48
HEXACO,I make decisions based on the feeling of the moment rather than on careful thought.,19,0.7229,0.835,48
State Trait Anxiety Inventory,I get in a state of tension or turmoil as I think over my recent concerns,40,0.7224,0.791,45
Schwartz_Values,Tradition is my foundation,7,0.7222,1.071,50
CERQ (Cognitive Emotion Regulation Questionnaire),I feel that others are responsible for what has happened.,33,0.7218,0.653,50
BFI-2,Has difficulty getting started on tasks.,22,0.7206,0.986,50
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, it takes me a long time to feel better",34,0.7189,0.978,48
DERS (Difficulties in Emotion Regulation Scale),I experience my emotions as overwhelming and out of control,2,0.718,0.853,47
BFI-2,Sometimes behaves irresponsibly.,57,0.7178,1.0,49
CERQ (Cognitive Emotion Regulation Questionnaire),I am preoccupied with what I think and feel about what I have experienced.,9,0.7177,1.017,49
Adult Temperament Questionnaire,It doesn’t take much to make me feel frustrated or irritated.,47,0.7176,3.254,49
MCQ-30,I cannot ignore my worrying thoughts,10,0.7175,0.866,47
Adult Temperament Questionnaire,I find loud noises to be very irritating.,3,0.7162,2.643,50
The Internal Representation Questionnaire,I often use mental images or pictures to help me remember things,5,0.7157,1.105,48
Five Facet Mindfullness Questionnaire (FFMQ),I find myself doing things without paying attention.,37,0.7147,0.884,49
Schwartz_Values,"If it feels good, do it",6,0.7145,1.317,48
State Trait Anxiety Inventory,I am tense,2,0.7138,0.836,48
DASS-21,I found it hard to wind down,0,0.7137,0.745,50
BFI-2,"Is moody, has up and down mood swings.",13,0.712,0.969,49
Meaning in Life Questionnaire (MLQ),I am seeking a purpose or mission for my life.,7,0.7119,3.455,49
BSI,Feeling uneasy in crowds,42,0.7118,0.752,46
Adult Temperament Questionnaire,I usually have trouble resisting my cravings.,52,0.7113,3.349,50
Balanced Inventory of Desirable Responding Version 6,I sometimes lose out on things because I can’t make up my mind soon enough.,11,0.7113,2.047,49
CERQ (Cognitive Emotion Regulation Questionnaire),I dwell upon the feelings the situation has evoked in me.,11,0.71,0.973,49
Adult Temperament Questionnaire,I am often aware how the color and lighting of a room affects my mood.,56,0.7096,3.088,49
HEXACO,"When someone I know well is unhappy, I can almost feel that person's pain myself.",46,0.709,1.383,50
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I feel ashamed with myself for feeling that way",20,0.709,0.67,50
HEXACO,I feel strong emotions when someone close to me is going away for a long time.,70,0.7065,1.357,50
ECR-R (Experiences in Close Relationships–Revised),I worry a lot about my relationships.,5,0.706,2.114,47
Balanced Inventory of Desirable Responding Version 6,I sometimes drive faster than the speed limit.,32,0.7051,2.426,50
