,F1,F2
"After seeing a play or movie, I have felt as though I were one of the characters. ",0.16056892143476936,0.5305247000696698
Becoming extremely involved in a good book or movie is somewhat rare for me. ,0.30782052376767244,-0.16863573503581136
"Before criticizing somebody, I try to imagine how I would feel if I were in their place.",0.7868694054241243,-0.15671959867990976
Being in a tense emotional situation scares me. ,0.06776302652823706,0.6538155213046769
I am often quite touched by things that I see happen. ,0.1395281178641903,0.7035387287045292
"I am usually objective when I watch a movie or play, and I don't often get completely caught up in it.",0.47028185465148276,-0.5335832980554404
I am usually pretty effective in dealing with emergencies. ,0.5524799933024297,0.21226123027726942
I believe that there are two sides to every question and try to look at them both.,0.5153111623116509,-0.40182983573982356
"I daydream and fantasize, with some regularity, about things that might happen to me.",0.11718217910860343,0.6098752100396568
"I often have tender, concerned feelings for people less fortunate than me.",0.6333861324114456,0.48458494720422113
I really get involved with the feelings of the characters in a novel.,0.6513016505286394,0.27484562289668346
I sometimes feel helpless when I am in the middle of a very emotional situation.,0.16639115160960083,0.5564686343015501
I sometimes find it difficult to see things from the “other guy’s” point of view.,-0.16729275129524232,0.30541900394194765
I sometimes try to understand my friends better by imagining how things look from their perspective. ,0.8965020106814297,0.034524702317402255
I tend to lose control during emergencies.,-0.12416167768929531,0.6151956628263299
I try to look at everybody's side of a disagreement before I make a decision.,0.36409648285309915,-0.5230894740018179
I would describe myself as a pretty soft-hearted person.,0.6841156516971114,0.10182229482513366
"If I'm sure I'm right about something, I don't waste much time listening to other people's arguments. ",-0.1251176629067484,0.6233708201414966
"In emergency situations, I feel apprehensive and ill-at-ease.",0.03472919554282829,0.732339595937029
Other people's misfortunes do not usually disturb me a great deal. ,0.48360902880165146,-0.1682049475033296
Sometimes I don't feel very sorry for other people when they are having problems,0.4441391061332334,-0.06777527888507785
"When I am reading an interesting story or novel, I imagine how I would feel if the events in the story were happening to me. ",0.273025472095697,0.39930519646592577
"When I see someone being taken advantage of, I feel kind of protective towards them. ",0.7798572162070448,0.0682967478597345
"When I see someone being treated unfairly, I sometimes don't feel very much pity for them.",0.15822107065574853,0.025000468530050172
"When I see someone get hurt, I tend to remain calm. ",0.4673840150059734,-0.46164902133418295
"When I see someone who badly needs help in an emergency, I go to pieces.",-0.04770903873318913,0.7964066595409744
"When I watch a good movie, I can very easily put myself in the place of a leading character. ",0.7694337983904617,-0.1059589952888073
"When I'm upset at someone, I usually try to ""put myself in his shoes"" for a while. ",0.7631097475252848,-0.06527967938735757
