,F1,F2,F3,F4
Achieving my goals is one of the greatest joys in life,0.09994469002563589,0.3701192688068829,0.1121277003023079,0.06957721379743233
All people are fundamentally equal,0.18407110828532608,-0.09942741309406102,-0.27212630990388764,0.48792985390261806
Caring for others is one of the most important things in life,-0.05510354632792894,0.28613486920742404,-0.12464641804233156,0.7608522688710598
Doing things as they have always been done is more important than changing things ,-0.055206932527109315,0.2963674394862045,0.2368256440450024,-0.09145127694354961
Getting what I want in life is among my most important values,-0.004968517205339868,0.38421033423063106,-0.22417640441792797,-0.7122382264122595
Helping others is the most important thing,0.3517483200250534,0.2306705525422275,-0.02236315118858353,0.15562679574780758
I aspire to power,0.24871452096077518,0.17260556900889032,0.6489153598808984,0.07667028013034595
I believe in fight for equality,-0.07782357879128297,0.25444398831627396,-0.4998722782842691,0.27549901184688225
I crave a predictable life,0.2327921205833622,0.3386938035557548,0.1897166238903742,-0.12887181337389556
I crave novelty,0.1605710688574463,0.5224849084727912,0.49757213764950065,0.09604310277712155
I enjoy being in charge of a situation,0.4721353274974703,0.25074401627924414,0.39384285913208394,0.28833433725082713
I hold to my core values no matter what,0.8115179551901446,-0.11469649484022383,0.16278644449824065,-0.24510447651778716
I like routine and dislike the unexpected,0.3627592510374376,0.3716450256461448,0.23829259627327531,0.19451312389525424
I like to feel a rush,-0.12060759936093741,0.5440725396536855,0.2797301114251417,-0.16595691347432914
I like to stick up for the ‘underdog’,0.8415787575344962,0.19877560976080189,-0.05101720445594726,0.019158471021180457
I like to tell others what to do,-0.31642006939671474,-0.15735413785831612,0.7894699490036018,0.0815879854786759
I love to try new and exciting things,0.8945011762736133,-0.06943512800970789,-0.20812992024816412,0.027584905875745764
I seek out pleasure in life,0.5723652440543084,0.14268832137272236,0.0009554052088661677,0.4914648741989641
I think it is important to follow the rules,-0.19645391299333972,-0.04002477539710147,0.004866341033610051,0.7295124393513858
I usually do what others tell me,-0.4360004239458845,0.14776209003933868,0.41402825259642323,0.05147807198052457
I value my creativity and individuality,0.8415787660523854,0.1987756100492224,-0.05101720641340318,0.019158468091782132
"If it feels good, do it",-0.016392397732290308,0.09266216189649601,0.6245993436688982,-0.20505413547486295
It helps me to know what to expect,-0.04991542035845055,0.33373098042605204,-0.22013870867371657,0.22518892247426717
It is important for me to feel authentic to who I really am,0.32771342947342424,0.43300681614225833,-0.20489259799227638,0.2084464835414962
It is important to be successful,-0.6438873441741497,0.4879515836908064,-0.4062146327872615,-0.03275312996808706
It makes sense to seek out pleasure and avoid pain,0.09525683989617227,0.5104770953906331,-0.04087757239444905,0.05560494656135105
Rituals are important to me,0.3313426845976311,0.42328517507668806,-0.14702379724837417,-0.10657820709599691
The highest goal is in serving humanity,0.11306857694451308,0.6082944842961847,-0.08296097066182413,-0.03924830986528544
Things go more smoothly when people follow established rules,0.5078168081032063,-0.16045360616876483,0.09600585859297375,0.48252795524152453
Tradition is my foundation,0.1264325928953204,0.15745723642930798,0.1617266049212322,0.02273701930421186
