,F1,F2
"All in all, I am inclined to feel that I am a failure",0.4739389495812673,-0.14526416199743722
"At times, I think I am no good at all",0.6630383246504967,0.007351897268143572
I am able to do things as well as most other people,0.029196413908305265,0.3713668968319141
I certainly feel useless at times,0.6983000690213343,0.13957336259411413
I feel I do not have much to be proud of,-0.09414183770846833,-0.3009918994559206
I feel that I have a number of good qualities,-0.21995597962694444,0.441393746424822
"I feel that I'm a person of worth, at least on an equal plane with others",-0.0733995485286591,0.6379178984579416
I take a positive attitude toward myself,0.026678057161520663,0.5131316168552278
I wish I could have more respect for mysel,0.8237085540282404,-0.044947099644404354
"On the whole, I am satisfied with myself.",0.0962116917307729,0.7137431040423887
