,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34
Are all your habits good and desirable ones?,0.08139583318492984,-0.07371567982355698,-0.11357788983999385,-0.05211933897307321,0.1233890860052968,0.02299554149650338,-0.038285366229571766,0.008545383371144596,-0.14185684795926584,-0.047298538240255886,-0.006026771263830769,0.023163508548103676,-0.014491071705473797,0.011916656817182627,-0.01534439111133247,0.13140822388647236,0.03844062356852012,-0.06749342983184971,0.09269185892886603,0.09817554656813525,-0.02942207325138219,0.02200037654064009,0.07161176757964582,-0.040418273098906714,-0.18992129594866713,-0.0016331790664569441,-0.021235842994431126,-0.13580440457266524,-0.07396360526591085,-0.04305464530409678,0.07495525207760856,0.12793168347142614,0.035542073227270404,0.211019990639845
Are good manners very important?,0.010812121924503508,0.04418115598597717,0.016128375783486807,0.04645234196858864,0.031222582878951802,-0.009765191819819745,-0.12129436125072221,0.022872377504426285,0.0012654860668853398,-0.016838949528000184,-0.15622125938062714,-0.011813494334154965,-0.004815985792212665,-0.05374550754954095,-0.0008256643648113745,0.06873330513122948,-0.07869996583500988,-0.03321418875575343,0.07246957174370544,0.2748877569972178,0.04321107830372264,-0.02906476892351578,0.0347618699305357,-0.040981889901833726,0.10103242327954685,0.026092730997075847,-0.03799981453288141,0.05823971038817709,0.015754596640407837,0.07792748802374769,-0.0698090133718012,0.007879857397064025,-0.027838686256244492,-0.035833897349501286
Are there several people who keep trying to avoid you?,0.06313272406007625,-0.08587804038330406,-0.07810289330532237,0.12460461169459622,0.01927473622104429,0.010284388877445802,-0.019434222700044516,-0.14213714072794312,-0.02637797061377018,-0.027788074749112223,-0.042542278986721055,-0.07384600358945456,-0.2019285272346512,0.07955846064379818,-0.1173520717911975,-0.05630952656832523,0.01738104187789663,-0.05665602819961144,0.12194556636254154,0.038451533621281196,0.035858969638989574,-0.08825623506425011,0.012137282696024345,0.02620980540906087,0.0004458185328911832,0.020195025198746903,0.16725070006231588,0.009551128513160544,0.0733122780962344,0.05991416721286103,-0.051026583673003105,0.09322116343699559,-0.07503398805301244,0.08496163555310098
Are you a talkative person?,-0.00193065872606782,0.26209517465385046,0.012985383578615391,-0.026358228901699924,0.011207403130604183,-0.1210747461403498,0.1918454407726507,0.14838610716113051,0.09617254462079758,-0.04898092285629917,-0.03748099652260237,0.0015251894499401257,0.10990488491542315,-0.14666689911996508,0.04872653211840273,0.11403710361635276,0.02406490642325295,0.08780780180253406,0.0005881129729533858,-0.010652604695070626,0.09038172831814108,0.07527333277285843,-0.08320746175391439,0.24560045562288127,0.07667593907917167,0.18022392058619646,0.1724898761848861,-0.12819303972037766,-0.01697830517720647,-0.1295680441446799,0.118940123339481,-0.15556218367084337,0.050478454214441915,0.3324187542371506
Are you a worrier?,0.14382853239358337,0.02651332334558337,0.16284043448752544,-0.07771203283954288,0.0069453093824124075,0.09492616381594295,-0.026318139183528433,0.003321050708258916,-0.03853745265467997,-0.0589937120096334,0.0759963548886382,0.005142187574541549,-0.006575744720984084,0.008332976604353344,0.05927971064530181,0.05268300622116278,-0.04952809327053525,0.02087072657057107,0.014475368883901784,0.04581995860824514,-0.09075781189469619,0.029234372518806895,-0.030482471602536983,-0.03142087013945393,0.04210085810423448,-0.017632136217997807,0.010446901609603104,0.011036536019769332,-0.04989630302172693,-0.07105433348373781,-0.15472983425376738,-0.06213314157613717,0.0590325861859,-0.04083816950370308
Are you always willing to admit it when you have made a mistake?,0.051211952886362586,0.13411506766499282,0.006254931589228083,0.27697354907311433,-0.012297367390315037,-0.15530855134896004,0.22052552739081593,-0.13340632681608264,0.029667385837216537,0.019259657247331387,-0.09943221696123186,-0.045997902892514785,-0.09199964250881001,-0.08054195855758192,0.05369432585383802,0.07630307859881605,0.1243189044150047,-0.18419831656165855,0.20455760236428666,-0.12721908625648531,-0.15183775605502375,-0.008897397390956102,-0.06023498180353558,0.010772912872964426,-0.016581660980009034,0.027220806508040686,-0.1900074206988201,0.11346067011053187,0.003129446876190318,0.03982773622214854,-0.07104146255310091,0.055486648827548474,0.1271155357297411,0.00667574280238363
Are you an irritable person?,0.08791823490681203,-0.06806784700596527,-0.0593330592027428,-0.050466639658658934,0.05483752307516238,0.06631299451204173,-0.01850708180495535,0.1044669115813604,0.08039510236681435,0.11204735459830359,-0.049528058536516296,0.014597458963380454,0.08913855127835808,0.011003059272684032,-0.029429673050073896,-0.04324585349418391,0.004280373808899417,0.028442508628840953,0.058032387148951745,0.0709281973043312,-0.05147421986217973,-0.05085785381206742,-0.0291802513381809,0.0025626471581964363,0.0026034563823937253,-0.02743408607721863,-0.057581771565089486,-0.01884943331611696,0.00655019404326914,-0.06117804921177713,0.023381333625316317,-0.03321512453013559,0.023666770693370073,-0.0367763715591782
Are you easily hurt when people find fault with you or the work you do?,0.12762374565622667,0.01903351160796752,0.10868174265892794,-0.03517221482161934,0.13206262623975268,0.06379362555644977,-0.027937503441951544,0.032843016741239954,0.0116551817172616,-0.02356455037849591,0.15478451292732984,-0.0311543957550821,-0.05711310767780224,-0.06506519066430437,0.15710048863772605,0.004039110933192518,0.019535143637349348,-0.021667023110440754,-0.16501244213619454,0.09629017459204067,0.012497700486297569,0.001776695731137932,-0.01496054354219468,-0.03523102973471549,0.17282679052116395,-0.10342620422772987,-0.08623857018591645,0.08830484799427718,0.11970283919154458,-0.05763094605801372,0.0835963453325528,0.2166300659025941,-0.05106787187204628,0.006066382447542757
Are you more easy-going about right and wrong than most people?,0.04521358888873901,-0.036956677503913106,-0.03642548217175448,-0.03314533357894459,0.2169499069844343,0.07719411317392064,-0.024477521733556155,0.10511172634816766,-0.009770188506051521,0.061660650129708026,0.1562848262150512,-0.04767407436457975,-0.02566593130258822,0.11645927096814859,0.030329104688011036,-0.10852059994867859,-0.0009001158593751012,0.040780479408798385,-0.07943999128590991,-0.09875796708054002,-0.2584558600242851,0.025578657453425906,-0.041658405465032675,-0.12104583086336727,-0.08915699408518712,-0.04001261651607593,0.11092912007562424,0.17902366382866688,0.38391993382643486,0.024995751491952007,0.23445945492758438,-0.08327488320986012,-0.012287146524056517,0.09637940877781749
Are you mostly quiet when you are with other people?,0.07233896600525232,0.08843043165132634,-0.19965244270344384,0.06363106418852474,0.04502010952037032,0.04329254695795364,-0.09507607494527909,0.36472672013598983,0.09014191359274287,-0.07965095490954854,-0.06056467750453621,0.06810827281457962,-0.140141679893588,-0.11506575702497625,0.13328535172079797,0.013481798704977208,0.1474745266848381,0.09950240406874927,0.04327763161579162,-0.11569904800392934,0.2780549740681785,-0.13803840723964625,0.13726603550485889,0.16894187978237588,0.0064457029952290825,0.15911023703570118,-0.1245496336379341,0.12685289159062255,0.003433159086068347,0.03762557988562709,-0.1482554154644894,-0.09010338836887635,-0.0772829759390101,-0.11907368044908047
