,F1,F2,F3
"A ""woman's place"" should be wherever she wants to be. The days when women are submissive to their husbands and social conventions belong strictly in the past.",0.13229303796607095,0.2358600893884309,0.44439117707757086
Atheists and others who have rebelled against the established religions are no doubt every bit as good and virtuous as those who attend church regularly.,0.018272060251649385,-0.4413526613378052,0.45757949511045276
"Everyone should have their own lifestyle, religious beliefs, and sexual preferences, even if it makes them different from everyone else.",-0.30535227262862535,0.48008550435098307,0.1023546380666001
Gays and lesbians are just as healthy and moral as anybody else.,0.05682242216073658,-0.19542809055305388,0.7849223548146267
"God's laws about abortion, pornography and marriage must be strictly followed before it is too late, and those who break them must be strongly punished.",0.6003181244878304,-0.040036353360293805,-0.3865595818129676
"Homosexuals and feminists should be praised for being brave enough to defy ""traditional family values.""",0.3257180574321805,0.03638126725970071,0.5735527000131468
It is always better to trust the judgement of the proper authorities in government and religion than to listen to the noisy rabble-rousers in our society who are trying to create doubt in people's minds.,0.9908539450872986,-0.12151363216295982,0.04595016872898904
Our country desperately needs a mighty leader who will do what has to be done to destroy the radical new ways and sinfulness that are ruining us.,0.04454938051606528,0.635184583573761,-0.22771191696452184
"Our country needs free thinkers who have the courage to defy traditional ways, even if this upsets many people.",-0.2566002017721158,0.5265977573171332,0.2868237122432301
Our country will be destroyed someday if we do not smash the perversions eating away at our moral fiber and traditional beliefs.,0.5004690288736584,0.35452788679207836,0.05961745890748349
"Our country will be great if we honor the ways of our forefathers, do what the authorities tell us to do, and get rid of the ""rotten apples"" who are ruining everything.",0.7666741097150839,0.2324965766552938,0.11253166789700036
"Some of the best people in our country are those who are challenging our government, criticizing religion, and ignoring the ""normal way things are supposed to be done.""",-0.1657122949300055,0.4143133593261539,0.40288309671216993
"The ""old-fashioned ways"" and the ""old-fashioned values"" still show the best way to live.",0.4624862306986888,-0.31671609398043027,0.0320984565496501
"The established authorities generally turn out to be right about things, while the radicals and protestors are usually just ""loud mouths"" showing off their ignorance.",0.8219926296983688,0.029587734785181778,0.04226047174300999
"The only way our country can get through the crisis ahead is to get back to our traditional values, put some tough leaders in power, and silence the troublemakers spreading bad ideas.",0.5832118140070603,0.15233653186677834,0.045879502902718985
"There are many radical, immoral people in our country today, who are trying to ruin it for their own godless purposes, whom the authorities should put out of action.",0.4406857419518794,0.4842305748591526,-0.10496661921948974
There is absolutely nothing wrong with nudist camps.,-0.045522703166698764,-0.05183944766778711,-0.2550757678293693
"There is no ""one right way"" to live life; everybody has to create their own way.",-0.3837876475993686,0.3745020043897913,-0.02063950003610829
This country would work a lot better if certain groups of troublemakers would just shut up and accept their group's traditional place in society.,0.43099671014216656,0.16043933833357113,-0.30032187393329557
"What our country really needs is a strong, determined leader who will crush evil, and take us back to our true path.",0.23857420941722324,0.7102509986497461,-0.05559395401470986
Women should have to promise to obey their husbands when they get married.,0.13031618979305065,0.12502711330512278,0.2086610836808681
"You have to admire those who challenged the law and the majority's view by protesting for women's abortion rights, for animal rights, or to abolish school prayer.",-0.026251948208532133,0.2515582850492825,0.5573780510179497
