,F1
I control my emotions by changing the way I think about the situation I’m in.,-0.7037016863750756
I control my emotions by not expressing them.,0.0667873941781883
I keep my emotions to myself.,-0.42836693577196416
"When I am feeling negative emotions, I make sure not to express them.",-0.307865365886309
"When I am feeling positive emotions, I am careful not to express them.",0.44734615124283383
"When I want to feel less negative emotion (such as sadness or anger), I change what I’m thinking about.",-0.6663957385017403
"When I want to feel less negative emotion, I change the way I’m thinking about the situation.",-0.4207073202508795
"When I want to feel more positive emotion (such as joy or amusement), I change what I’m thinking about.",-0.597794106201333
"When I want to feel more positive emotion, I change the way I’m thinking about the situation.the situation.",-0.7101874094768175
"When I’m faced with a stressful situation, I make myself think about it in a way that helps me stay calm.",-0.6397435554126581
