,F1,F2
I am preoccupied with what I think and feel about what I have experienced.,0.7120880178959693,0.0139891317353118
I continually think how horrible the situation has been.,0.5574785076242922,-0.03867035119374286
I dwell upon the feelings the situation has evoked in me.,0.7957571046468487,-0.06320756444098789
I feel that I am the one to blame for it.,0.4057558281110518,0.16295445219141336
I feel that I am the one who is responsible for what has happened.,0.41217857977659683,0.42898842124583664
I feel that basically the cause lies with others.,0.5984662211950088,0.2800149329541591
I feel that others are responsible for what has happened.,0.42639102294290304,0.3041718537555697
I feel that others are to blame for it.,0.49470824785487577,-0.18255909735096376
I keep thinking about how terrible it is what I have experienced.,0.6909703092309206,0.10733623238021503
I look for the positive sides to the matter.,0.14706770892053211,0.6501548314082765
I often think about how I feel about what I have experienced.,0.8436669860399585,-0.03991034543958887
I often think that what I have experienced is much worse than what others have experienced.,0.5877680995966893,-0.3056715214823073
I often think that what I have experienced is the worst that can happen to a person.,0.5338275043139992,-0.34402874375624
I tell myself that there are worse things in life.,0.7720215898808422,-0.10547044512114157
I think I must learn to live with it.,0.14593216885303545,0.49375988809686383
I think about a plan of what I can do best.,-0.3192043726517247,0.5910927654040192
I think about how I can best cope with the situation.,-0.20273548899389365,0.6672398932400936
I think about how to change the situation.,-0.2030503292700273,0.6603885763161237
I think about pleasant experiences.,0.5099872424579487,-0.1964750774474333
I think about the mistakes I have made in this matter.,0.5282170605075217,0.28440663490618706
I think about the mistakes others have made in this matter.,0.3560454862126047,0.38572323783310314
I think about what I can do best.,-0.14014812071937952,0.6557722788807437
I think of nicer things than what I have experienced.,0.5266299825591378,0.09647779396010552
I think of pleasant things that have nothing to do with it.,0.4689280893173618,-0.37951065874921086
I think of something nice instead of what has happened.,0.7241294145541796,-0.16515245709993712
I think that I can become a stronger person as a result of what has happened.,0.6019787762641807,0.3950148549513423
I think that I cannot change anything about it.,0.21532528461594674,0.39056970862824086
I think that I have to accept that this has happened.,-0.16483316991444683,0.3304276769735337
I think that I have to accept the situation.,-0.05282770524898275,0.716763286764158
I think that basically the cause lies within myself.,0.2998853082208496,0.5939457335096464
I think that it could have all been much worse.,0.5926198429975967,0.05380832760023995
I think that it hasn’t been too bad compared to other things.,0.5961320395455622,0.22944864338494902
I think that other people go through much worse experiences.,0.661642174934697,-0.009795728284951706
I think that the situation also has its positive sides.,0.31403050266172206,0.5107908218119945
I want to understand why I feel the way I do about what I have experienced.,0.698225959314015,0.04607636372173233
think I can learn something from the situation.,0.3298542159669415,0.5647343965101953
