,F1,F2
I am really happy for myself,-0.12467781674683494,0.8228234094685023
I feel ashamed of something I’ve done,0.1464252235907061,0.6854071086884698
I need to figure out what I should do or say,0.7179787426826569,0.024095080693660283
I should have done something differently,0.18294156487955848,0.6016797055566456
I try to anticipate what someone will say and how I’ll respond to him or her,0.8788628086731216,0.035376221534171186
I want to analyze something that someone recently said to me,0.5372755907875708,-0.11691911246498221
I want to reinforce myself for doing well,0.03829381724484281,0.6285283137653421
I want to remind myself of what I need to do,0.7990768606891072,0.043370950538707966
I want to replay something that I’ve said to another person,0.4917899800601356,0.2677617278505011
I’m giving myself instructions or directions about what I should do or say,0.7743062696930753,0.08022050201110806
I’m imagining how other people respond to things I’ve said,0.47676306323058576,0.3408038723583911
I’m mentally exploring a possible course of action,0.933446562687242,-0.16501269575419358
I’m proud of something I’ve done,0.15894690926526886,0.6625430999623158
I’m really upset with myself,0.06708097421786735,0.7391868481845763
Something bad has happened to me,0.29951086222886825,0.46790306238402163
Something good has happened to me,-0.19165815367759825,0.8843904215537883
