,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
I am a steady person,-0.03389658463144601,0.1350858223333455,0.07018330150060305,-0.12347423045864242,0.2108144243603243,-0.1385071805544256,0.2078178363986909,0.30001808501483024
I am content,0.1403890153138914,0.18378203499709153,0.0039011310355433347,-0.09756845774835185,0.009294997370622976,0.004067464729807241,0.06464710921134183,0.12812582442788148
I am happy.,0.20809641002509197,0.17986000868789304,-0.3252243294405116,-0.1765328538427303,-0.1621035505387282,0.4174097066242727,-0.11535822312926232,0.2072998532555909
I am jittery,0.07243873635162709,-0.13691737680806293,-0.1962934158928366,0.1526084947013282,0.15610280646266814,-0.12355739632794203,0.12290694079626628,-0.37223949442286336
I am presently worrying over possible misfortunes,0.21317528305364813,-0.07615027764498956,-0.0066433033212653335,0.007653795784362349,-0.16899225527176007,-0.16182769834580532,-0.05785668522730613,-0.08699069470337277
I am relaxed,-0.04506207305946645,0.2505298072735735,-0.054016580625433866,0.36507960786978955,0.2557337402708032,0.0990642879571485,-0.23988937001457172,0.21590802830992634
I am tense,0.21317528305364813,-0.07615027764498952,-0.0066433033212652415,0.007653795784362316,-0.16899225527176007,-0.1618276983458054,-0.05785668522730605,-0.08699069470337288
I am worried,0.11455745778693009,-0.23245330864290925,-0.09662561870949485,0.04767401495092036,0.09351286572565835,-0.10801612389773975,0.17801005814507154,0.1025752184584137
"I am “calm, cool, and collected”",0.05736215136216778,0.23913824853766127,-0.003710729463990764,0.11063539480014827,-0.22246833338358513,0.19181958591029974,0.4319412317627125,-0.04111879260614358
I feel at ease,-0.054726504728997795,0.19867399193479682,0.11487462746525824,0.386728976167978,0.0838248820075375,-0.12674958257369137,-0.08158724973101943,-0.005225760621584268
I feel calm,0.13039729023094151,-0.02396520936097335,0.3093264816578879,0.28217560067697633,0.12366605856087273,-0.02068280993854293,-0.05962989992065208,-0.07253296965434217
I feel comfortable,0.1862324085105381,0.4012621819945267,-0.11671967146220547,0.16708406170013848,-0.20859224194452522,-0.010707127174999309,-0.18870349122753668,-0.1455239568385546
