,F1,F2
I feel relief rather than satisfaction after completing a task that required a lot of mental effort.,-0.19482439730313697,0.0837811267398434
I find satisfaction in deliberating hard and for long hours.,0.4661819810001113,0.26586943808905245
I like tasks that require little thought once I've learned them.,-0.18405237000908323,0.4705696113508017
I like to have the responsibility of handling a situation that requires a lot of thinking.,0.528754982237948,-0.04847254275322327
I only think as hard as I have to.,-0.2688288695440531,0.6187420826691414
I prefer my life to be filled with puzzles that I must solve.,0.6307896633920022,-0.10581133265271113
"I prefer to think about small, daily projects to long-term ones.",-0.14114486284055447,0.41837080523116227
I really enjoy a task that involves coming up with new solutions to problems.,0.5939482762975817,-0.1542453292927553
I try to anticipate and avoid situations where there is likely a chance I will have to think in depth about something.,0.21368086161854896,0.5621836047560368
I usually end up deliberating about issues even when they do not affect me personally.,0.2191407801938128,0.23917178620290008
"I would prefer a task that is intellectual, difficult, and important to one that is somewhat important but does not require much thought.",-0.23349329565327653,0.2779827885857137
I would prefer complex to simple problems.,0.6874331741614966,-0.005381209353298353
I would rather do something that requires little thought than something that is sure to challenge my thinking abilities.,0.6317432855095484,0.08475869440641563
It's enough for me that something gets the job done; I don't care how or why it works.,0.10745416413801723,0.3552034121634731
Learning new ways to think doesn't excite me very much.,0.6682856159624618,-0.1045967964182627
The idea of relying on thought to make my way to the top appeals to me.,-0.3089797492798165,0.31350321362189115
The notion of thinking abstractly is appealing to me.,0.589600655229,0.1445081395517004
Thinking is not my idea of fun.,0.46176253152452984,0.516340096103978
