,F1,F2
Compassion for those who are suffering is the most crucial virtue,0.513665245996418,-0.20752487414452644
"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",0.1567214191923441,-0.012764263379519471
I am proud of my country’s history,0.4554141264534059,0.4832801858896105
Respect for authority is something all children need to learn.,-0.1137890309857842,0.8997155372781749
"People should not do things that are disgusting, even if no one is harmed.",0.8022147336378885,0.06285868068600446
It is better to do good than to do bad.,0.04305572358977474,-0.09338943631764657
One of the worst things a person could do is hurt a defenseless animal.,0.12466832587525144,0.6558257742957803
Justice is the most important requirement for a society.,0.5514094356038496,-0.11907894854470458
"People should be loyal to their family members, even when they have done something wrong.",0.6469410419371959,-0.1676051783039434
Men and women each have different roles to play in society.,0.39522971160834625,-0.06240528693571789
I would call some acts wrong on the grounds that they are unnatural,-0.12806097527493462,0.5909473507275436
It can never be right to kill a human being,0.374437408169756,-0.17323079811501538
I think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing.,0.6273242692095548,0.23918505569393592
It is more important to be a team player than to express oneself,0.6453611175644485,-0.22840035879099513
"If I were a soldier and disagreed with my commanding officer’s orders, I would obey anyway because that is my duty.",0.2605896786516404,0.12445079389472508
Chastity is an important and valuable virtue.,0.0690254338850404,0.3103157248891349
