,PC1,PC2,PC3,PC4
A strategy I use to help me remember written material is imagining what the writing looks like,-0.0859063199260699,-0.2563266339898628,0.21529058174387264,-0.0163252001991119
I can close my eyes and easily picture a scene that I have experienced,0.09109677580808476,-0.10250653783118018,-0.025310248427607502,-0.06993149254261513
I can easily choose to imagine this sentence in my mind pronounced unnaturally slowly,-0.3395545995092126,0.08480984404064965,0.0008739464587520929,-0.12847660043531658
I can easily imagine and mentally rotate three-dimensional geometric figures,0.022463922570403326,-0.01903527834139128,0.2469646253609716,0.24461061397605702
"I can easily imagine someone clearly talking, and then imagine the same voice with a heavy cold",-0.29125849878341104,-0.07391659273145532,-0.21344697642373017,-0.11726473218068886
I can easily imagine the sound of a trumpet getting louder,-0.29227267173351096,0.011841265951681827,-0.15485747026941785,-0.133970514782898
I find it difficult to imagine how a three-dimensional geometric figure would exactly look like when rotated,-0.15208680403886896,0.18647995508285148,0.3050895698818302,-0.16372153203250164
I hear a running summary of everything I am doing in my head,-0.1178314275349726,-0.10745432400495207,0.0829297990387355,-0.33970202201737254
"I hear words in my ""mind’s ear"" when I think",-0.19303772746095618,-0.008622674703430417,0.044786111168444935,-0.05969675640210024
I like to give myself some down time to talk through thoughts in my mind,0.09198844312091341,-0.0014783833574427293,0.00966405670939681,-0.1841994623051753
I often enjoy the use of mental pictures to reminisce,0.09701592454860937,0.0034955877076976935,0.0656174493329918,-0.07264044740244816
I often talk to myself internally while watching TV,-0.20562065927230183,-0.020628390008844203,0.03599552286055154,0.32000024721614007
I often use mental images or pictures to help me remember things,-0.10414527651684512,-0.03057953214518671,-0.022162346335579647,0.059885611698510775
I rarely vocalize thoughts in my mind,-0.15729922106415586,-0.31432030787489823,0.09027756473000911,-0.30143065250346107
I rehearse in my mind how someone might respond to a text message before I send it,0.09127345376023614,0.08638435085409826,-0.016794959949328905,-0.09526395503260594
"I see words in my ""mind’s eye"" when I think",-0.12272939309535368,-0.23767894394256053,0.09684471532765,-0.0776277400204966
I tend to think things through verbally when I am relaxing,-0.07271463941431969,-0.09940687853614787,0.15949814324112419,-0.037598635358986096
I think I have a large vocabulary in my native language compared to others,-0.1388223561862084,0.0011435507292986828,0.19930150317303613,-0.014101684529558673
I think about problems in my mind in the form of a conversation with myself,0.09127345376023614,0.08638435085409826,-0.016794959949328905,-0.09526395503260594
"If I am walking somewhere by myself, I frequently think of conversations that I’ve recently had",-0.22137966776923468,-0.021807222068380414,0.04040879357027142,0.05053672193839582
"If I am walking somewhere by myself, I often have a silent conversation with myself",-0.12344419310226326,0.07494494801494378,0.05909393555337552,-0.030229801345044282
If I imagine my memories visually they are more often static than moving,-0.11412569306576413,-0.05742383187806362,-0.006944302035611294,-0.3170754021479002
If I talk to myself in my head it is usually accompanied by visual imagery,-0.12378634976003142,-0.21697068840311806,0.06944792725149768,0.005185615145960212
"In school, I had no problems with geometry",0.0046969090041009765,-0.2656770566776616,0.11478059225137921,0.40104435950351347
It is easy for me to imagine the sensation of licking a brick,-0.05812557428758672,0.5052594526361218,0.6017367208011142,-0.0035652912185821567
My inner speech helps my imagination,-0.13550379661504575,0.027364993269014662,-0.00830177800184849,0.035091954782044285
My memories are mainly visual in nature,-0.16755934320363142,0.10350660998868458,0.10872174349281838,-0.09859831123995706
My memories often involve conversations I’ve had,0.06424071745911979,0.15849968039210782,0.02532772812909009,-0.13766393479977385
My mental images are very vivid and photographic,0.02056845869813999,-0.15948350443225193,0.2794709188344651,0.17212579599118313
The old saying “A picture is worth a thousand words” is certainly true for me,0.10381189124894441,0.04668092467799133,-0.07000788060465764,-0.08520692557971905
"When I am introduced to someone for the first time, I imagine what their name would look like when written down",0.34923303422671337,-0.2770608717172832,0.25032853500690716,-0.23975302545780874
"When I hear someone talking, I see words written down in my mind",0.13242311160414608,-0.3405997989651767,0.28569784399068715,-0.04532496945351687
"When I read, I tend to hear a voice in my ""mind’s ear""",-0.13580228886429302,-0.023394023313201503,-0.03943663319462031,0.035333687613967185
"When I think about someone I know well, I instantly see their face in my mind",-0.14914659072660566,-0.1951033933505547,-0.029385125168141766,0.10166141038579354
"When thinking about a social problem, I often talk it through in my head",-0.13910685280877297,-0.04682971369007453,0.04155438349284099,-0.14292257650082513
When traveling to get to somewhere I tend to think more visually than verbally,-0.3386189653175224,-0.0514846765062213,0.04297882518519535,0.23659354516331627
