,F1,F2,F3
Before making a major trip‚ I consult with most members of my family and many friends,0.1580146258260755,-0.4868657983351943,0.23645291333347598
Children should be taught to place duty before pleasure,0.028847024511675368,0.49161090523986933,0.06878832585293118
Children should feel honored if their parents receive a distinguished award,-0.21260448811806376,-0.007107714005582571,0.51757976215015
Competition is law of nature,0.5253884567972193,0.09918486742230044,-0.10789128734045854
I am a unique individual,0.6815672853131846,-0.06096821304318105,0.3358974104980606
I enjoy being unique and different from the others in many ways,0.5062349090392576,0.28791393259638276,0.24453486000459432
I enjoy working in situations involving competition with others,0.1666773802687876,-0.18428471734762672,0.7529459119510016
I feel good when I cooperate with others,0.5009752136023088,0.478791856150379,0.25260826712304474
I hate to disagree with others in my group,0.24073322553496812,-0.5628660061443578,0.15333410437517167
I like my privacy,0.41393958765609584,-0.25104600146329886,-0.23836524552112734
I like sharing little things with my neighbors,-0.05983196993753143,0.11102628906764872,0.642751585493512
I often do my own thing,0.49114758751327425,-0.0632666952574397,-0.16060946729418166
I prefer to be direct and forthright when I talk with people,0.12327906976996424,0.47425343559515787,0.2506588066168762
I think cooperation in workplace is more important than competition,-0.06112372471024382,0.6432450487507615,-0.12706227554385582
I think it is important everyone has equal access to healthcare,-0.012153586377888199,0.28950759553858335,-0.16137374965525908
I usually sacrifice my self-interest for the benefit of my group,0.3866581914487301,0.3699716067265052,-0.3268893442983961
I would do what would please my family,0.76189084163413,-0.2160155410677952,-0.16529907729162796
I would sacrifice an activity that I enjoy very much if my family did not approve of it,0.2980600968549588,-0.08272806575293862,-0.4856068157290375
If a co-worker gets a prize I would feel proud,0.41799920212675024,0.31756164343324633,0.09002506906312578
If a relative were in financial difficulty‚ I would help within my means,0.0850442427660677,0.6725360806752804,0.02452560845166802
It annoys me when others people perform better than I do,0.1773762347361503,-0.5764897217478291,0.20346519230612173
It is important for me that I do my job better than the others,0.6612074860741707,0.013527260110354739,0.06522002971625238
It is important for me to maintain harmony within my group,0.01498308380841692,0.39028733148195843,-0.4730196346103843
My happiness depends very much on the happiness of those around me,0.8424895185849351,-0.08072430907907496,-0.11365487485292392
One should live one’s life independently of others,-0.05827099553756157,-0.07797236712715365,0.49551481179963686
Some people emphasize winning; I am not one of them,-0.5376063725867757,0.4103851537945872,0.32070043865791664
The wellbeing of my coworkers is important to me,0.14198682480518568,0.5639814103844955,0.1350637844421653
To me pleasure is spending time with others,0.7436196818103256,0.19343345909508727,0.2350712832935612
We should keep our aging parents with us at home,0.08008113209384222,-0.02923609491714033,-0.11260147504025385
What happens to me is my own doing,0.07400516062984187,-0.20696254134165376,0.4354118017468201
When I succeeded‚ it is usually because of my abilities,0.3596491118609909,0.3752658914933742,-0.051599024049265724
When another person does better than I do‚ I get tense and aroused,0.10902124066350041,-0.7013502259596083,0.19764884792768198
Winning is everything,-0.028221970437631794,-0.5917948961893893,0.03448635990003662
Without competition it is impossible to have a good society,0.06408344357381959,-0.44083830045557293,0.5343480163112302
