,PC1,PC2,PC3,PC4,PC5
"Even after I've made up my mind about something, I am always eager to consider a different opinion.",0.1461317683940927,0.03516397026057523,-0.13457784132552084,0.24353820253134825,-0.05320314030526851
"Even if I get a lot of time to make a decision, I still feel compelled to decide quickly.",0.24408839737510918,0.02073042231349099,0.03442080590460806,0.20572120546473557,-0.1142892804733841
"I almost always feel hurried to reach a decision, even when there is no reason to do so.",0.31244684359459807,0.24411724864116485,0.0881074936420376,-0.0861086400459169,-0.030787055707643056
I always see many possible solutions to problems I face.,0.11479122133233273,-0.006085870765253988,-0.0673193283382925,0.16564203596456048,-0.04769454714146761
I believe that orderliness and organization are among the most important characteristics of a good student.,-0.0015719656034802493,0.025804869115950205,-0.06166698408784226,-0.03091293514548855,-0.0775558555636183
I dislike it when a person's statement could mean many different things.,-0.04766236753266327,-0.09619157849116196,0.4625492310083913,-0.03172488048663349,-0.09652594989215003
I dislike questions which could be answered in many different ways.,0.204783462934455,0.09651481430969515,0.1023903884915157,0.17327580828135547,0.36270806997214977
I dislike the routine aspects of my work (studies).,-0.1082138859936322,0.20493914487197779,0.17646598890662646,0.0483601210360264,0.04619122579169741
I dislike unpredictable situations.,0.045835343618099766,-0.06215026147918153,0.20883462545427814,0.4227402984850961,-0.01359887528647237
I do not usually consult many different opinions before forming my own view.,-0.11260258485132005,0.17201857263045917,0.1248240739427096,-0.2455153783625157,-0.13697176293576263
I don't like situations that are uncertain.,-0.12196328087513965,0.16988241777100252,-0.034422914454961304,0.24970850309341358,0.3190104491312184
I don't like to be with people who are capable of unexpected actions.,-0.07349421364506051,0.2090763200285722,0.27965088417230194,0.2692258926177675,-0.31956377401322766
I don't like to go into a situation without knowing what I can expect from it.,-0.12703454295239786,0.24403094407916348,0.03870352571403987,0.13238462192941114,0.2304542636420845
I enjoy having a clear and structured mode of life.,-0.05524496331002748,0.17229355199608673,-0.023926806690044954,0.0752122269907773,0.01966477996997868
I enjoy the uncertainty of going into a new situation without knowing what might happen.,0.17718540008636077,0.08716263049403354,0.0073466952943394915,0.009666739748592192,-0.021779793676932915
