,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
Barely noticeable visual details rarely catch my attention.,0.012274676733956135,-0.06678930706682928,-0.023246902996877872,0.5205884908845365,0.11072942392018056,0.010622090899208464,0.07829335351449482,0.08461490753944217,-0.13403956637232858,-0.05742420091726182,-0.09324845082827361,0.05783532992605419,-0.17905897361458228,-0.15901310135952756,-0.08493794811509946,-0.11852896082323316,0.17390067692311542,0.18620105920413774,0.1928611521382871,-0.12394419607908812,0.2870887906144303,0.10418921313160942,0.030421151694029307
Colorful flashing lights bother me.,0.161772367744906,0.09031678906574,0.12055328481176329,0.03523530393241924,0.07439230149681922,-0.0017218898874635786,0.006738990785227952,0.031424878549042884,-0.004936816418053301,0.011897251239502587,-0.1298562672560523,-0.04045971312561306,0.1245635533222837,-0.15781204333793372,0.14814293592647051,0.12831403865580873,-0.152173382257054,-0.01768089802921754,0.08352696673581345,-0.10918345244590806,0.04308372647207679,0.082200253093027,0.026542397481714733
Creative ideas sometimes present themselves to me without effort.,0.037817725403537665,0.09969370876613168,-0.0718783798620132,-0.042571965745549285,0.04514381187234594,0.058522688792161465,-0.17625968780500126,0.04672380858659012,0.09043179107073476,0.19466656132598387,-0.04376344241080321,-0.05068360494562863,-0.015265038903346925,-0.09776297797659497,-0.029253589077358026,0.03759271096734712,-0.06475256195706736,-0.04196658485650026,-0.12097235908316013,0.06736986803408375,-0.03926714191006804,-0.03010562969001282,-0.0985233556157608
"Even when I feel energized, I can usually sit still without much trouble if it's necessary.",-0.07736345341672188,0.1255302730391455,-0.02375154410103254,-0.07372639262911423,0.11349917531546037,0.07793070949131613,0.06194071446551707,-0.04652389943720482,0.010482027477788413,0.014965255785245985,0.10387373467316084,0.11992154898967468,-0.05020880177421476,-0.11858751283180664,-0.2918961242520298,-0.08107002796952484,-0.033401959739254715,0.0480275439036493,0.05062551163795947,-0.01932963939430888,0.02914672668662568,0.11681231652492015,0.09383254410253045
I am often aware how the color and lighting of a room affects my mood.,0.17028883517803353,0.03022733503095333,0.11553597463016496,-0.010513227889683532,-0.13427778858679293,-0.016967192677623633,0.11618440434776159,0.013150515230207768,-0.0016843925999305823,0.08819064623097424,0.15668928077868943,-0.180466471178336,0.0780686014261998,-0.16842461984754964,-0.06579702419521478,0.0005039045756840576,-0.05051962139059662,0.043679664070413356,0.22277012460033316,0.08453833631968737,0.13348506355786835,-0.03675211077727385,0.09651180039661772
I am often aware of how the weather affects my mood.,0.11875885709664917,0.1235676947185292,0.052395472097172414,0.026314329868037598,-0.04782288331029829,0.1917188157069875,-0.007911393486262712,-0.1074147286564437,-0.12120385528459313,-0.11728454412750093,-0.10274186160331751,0.16486526969954196,-0.0314052325254498,-0.019599018605831627,0.09031942364556968,0.1250423434266945,-0.0005707519108911989,-0.021572416203019147,-0.060231892278931665,-0.04293787397677287,-0.03211737105341971,0.0831208497774109,0.06840065494141445
I am often aware of the sounds of birds in my vicinity.,0.14020464186166237,0.06511903756177044,0.12670176973509972,-0.07402642308287173,0.036030855240392866,-0.08821757711994908,-0.05466305902930862,-0.07527302553300234,-0.05524283809397434,0.07247495419786577,0.18268716737452373,0.15289264634076039,-0.11133502768636902,0.01979315883231785,-0.13672253140643562,-0.036816126907842396,0.022954509040500226,0.052470460712456875,0.08609562072906021,-0.16190639074362828,0.06964455257258237,-0.007095090721155639,-0.06640210191183817
I am often bothered by light that is too bright.,0.16820947007855702,0.09933690471544937,0.08123522191873886,0.051312686979368465,-0.004948753365714233,-0.09424252282504288,-0.006699144130877556,-0.09492436719464888,0.07074414938477885,-0.22406726427805626,-0.02269244686476917,-0.05686204305605692,0.007701927238863834,-0.21863095098561025,-0.03630120238019582,0.051013461761055465,0.21312822583949254,-0.13931258165761373,0.14990629273434566,0.08566464453034493,-0.26249324494081966,-0.08235044715945418,-0.17142474143704675
I am often late for appointments.,0.07802712411743315,0.006103231445559951,0.041725396612396035,-0.05914759911901168,0.06644607621627276,-0.0320141846866422,0.10889729146185381,-0.089257847987007,-0.17850964370666028,-0.020029118948618623,-0.01816994434213839,0.11110063809203327,-0.08414709353151832,0.1568759545138413,0.15162998855874016,0.2499006149356009,-0.0317690803906573,0.10742731540483205,-0.061388936449650496,0.0870858896954642,0.03764873548221708,-0.01837242983631642,0.03424552880782215
I am rarely aware of textures of things I hold.,-0.019288901223127854,0.18391752913268247,0.42306866409057065,0.10193669362122543,0.11639803199073237,-0.21263548503737562,-0.24474979221476392,0.3150069995459924,-0.23818262839814894,-0.17684769868175748,0.11374925864791421,-0.15853704584111025,0.22274764364258548,0.15005617304992053,-0.13561528784106813,-0.12420033769128477,0.02805246671717991,-0.025598083814459646,-0.13270456675473125,0.1598165341122395,-0.03211308794281038,0.012776004825725345,0.11226812716352874
I am usually a patient person.,-0.08450834514411694,0.15800380902862446,-0.0008808870281899381,-0.019541654701654768,0.18577467570904405,0.023871173329870637,-0.05238027611097765,0.10405498146080354,0.013577355334033514,-0.08419974555924285,-0.0702368108178776,0.09478705932148367,-0.005032970175172116,0.007122691760184247,0.013216540233677632,0.0796204011039794,0.07789800009275734,0.05610375921949668,0.03657161764630004,0.17125481963836742,0.10391070454250156,-0.012999584723468538,0.024843070036882395
I become easily frightened.,0.11058785047800714,-0.07076455653672269,0.14861912782966794,-0.066485942880446,0.024555488439056375,-0.009977239695054888,-0.05073580666550539,0.11850534396603325,0.056085874736182796,0.09832637682075822,0.08247033883175293,0.07443033870013488,-0.024772341967374472,0.044313445451261764,0.14898714379772215,0.06493732616262364,-0.07772100862227835,0.06895669162046623,0.1181200558954502,0.04646500796303011,0.04231976290512774,-0.11936541631728946,-0.05219734194205058
I can easily resist talking out of turn.,-0.0880389402331813,0.13711765684409982,-0.038040232823128156,0.07242656077902042,0.04493345597736736,0.0022382064048251387,-0.11424338445953303,-0.07509804596076704,0.003226569694103658,0.013938869080397659,0.010078655197429136,0.05812493969986194,0.04352078668835819,0.06216105802060492,-0.09601306750682027,-0.06997852188231136,0.0772191951481879,0.07614889389554604,-0.09174274700435499,0.023494136384037235,0.12037494586450398,0.009802685730120003,-0.06318780002331799
I can keep performing a task even when I would rather not do it.,-0.030853279603459578,0.1016256801630782,0.05238242240113813,-0.005658380107589053,0.2359932636456643,0.13355641023410827,-0.10855078321688172,-0.04931309440358052,-0.09885354419031135,-0.002283901579266664,0.0779203836921722,-0.1176706839148775,-0.12128219174397185,-0.1630327810231667,0.06848756022074774,0.036262348909343455,0.03932087772426718,-0.09093782875086925,-0.08536575058511531,0.0757266179811247,-0.01940155062140656,-0.18442518488639223,0.012931838809489796
