,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
Are all your habits good and desirable ones?,-0.015896108530959845,-0.017700145501059777,-0.04539773569785335,0.0007178084260805811,0.0018172603400537957,-0.011178588420269014,0.06264928805443154,0.025275972178254235,0.029681166889093044,0.021297058156023486,0.02490241408531602,-0.1049740334432258,0.03147459639198685,-0.08784696432258292,-0.07259969373187569,-0.059843060650081305,-0.06973874091731905,-0.0338829478649697,0.10859087762925679,-0.057349657898658424,0.05301269759905041,-0.04909159133550649,0.014283084710827112,-0.050243314044422296,-0.020497555858711342,0.14366083143232575,-0.059040173943247426,-0.018966798147590138,0.12809889292168122,-0.048615167278903554
Are good manners very important?,0.00995515663547459,0.029319650478843527,0.0224297214532256,-0.04893902344896978,-0.0035870509699416934,-0.04792458503241691,0.08031372632022112,-0.042199194163339886,0.004906604245354922,-0.04039270187218657,0.08242976470651417,-0.038744926119927255,-0.04453340021731204,0.018715486364264837,0.0400090259592421,-0.02935475444354569,-0.12642534742684128,-0.0454996518911497,-0.07456495863337305,0.0658598740993701,-0.08210551274026684,0.032075252680459264,-0.08466914542496677,0.06671257671823169,-0.02267564682839319,0.06536142357882634,0.02334401380506844,-0.06546351168252036,-0.019152908648766828,-0.01949193060915928
Are there several people who keep trying to avoid you?,0.0432335610598817,-0.15352016663531243,0.061277040600572194,-0.019309845006580405,-0.01312914894785115,-0.10691049390246747,-0.025797939622361588,-0.07722021538727614,0.09507723294620178,-0.08135801624709167,-0.0725270468590631,0.04972383758203534,0.0780055277557245,0.05044057416281545,-0.02167538839249126,-0.1005030805454579,-0.06774894942320146,0.056409303914698936,0.023987259535778332,-0.055925552106480335,0.009921165061379687,0.11446975987159931,-0.0016464466711221734,0.04680904858194518,0.02515717327525563,0.028856035667104943,-0.013516773458532675,-0.03458617571207237,-0.016382639509516794,0.007936289355132574
Are you a talkative person?,0.04266542244312738,0.05570633639458859,-0.12767755219169405,0.16925660278511254,0.15282382671283157,0.020688829676280295,-0.033122966202083465,0.13896755653861861,0.02546739068130425,-0.29845085529952364,-0.05321872466712692,0.0005575059148100446,0.056265202853463314,0.07192397825021538,-0.022498777689276276,0.04513108907036528,-0.062297976262231214,-0.13512579667950236,0.26871738219750363,0.06706716530581007,-0.004268953218390416,-0.10274260761060279,0.12983666459463605,0.04463064192485356,-0.23927736305893135,0.16443654615880135,0.06010332232407931,-0.05025553911775461,-0.11059017509142147,-0.04649920863402887
Are you a worrier?,0.1948199709079954,-0.08869473083480475,-0.03179534572041155,-0.006656620064360214,-0.09038874560416187,0.04720789113270245,0.043435003220109694,-0.07575569966576899,-0.14190524115464637,-0.08585647453082702,0.08184323718573962,0.00680730962007696,-0.07339146843706539,0.014303048642127739,0.06537800530175393,0.05344763436760463,-0.041543976264574366,-0.07808383101611106,0.05409933519959525,-0.08091161571802194,0.02457640943765188,0.05572406116139523,-0.075559548502081,-0.037482516728458246,0.08231419967679642,-0.019712644670590695,-0.04453302581584304,0.024099974276060046,-0.09830022446922754,-0.19646659414580622
Are you always willing to admit it when you have made a mistake?,0.05749517139071452,-0.15020573494416545,0.010062979196061346,0.2825831009126912,0.14834370406952918,-0.09566982958783325,0.12134119911497941,0.16115188352060925,-0.07916166014467664,-0.02824005413232507,-0.028576802357360372,-0.07458402402080709,0.03508150249440571,-0.022537318718795052,-0.03160772326536448,0.021927315879978246,0.12471605418053713,-0.025704609797750032,0.08985965046354445,0.14044644546146842,-0.09666196628953992,0.1735445880430656,-0.1994142836680451,-0.19407549870086072,-0.0390293959594739,0.07442841308536008,-0.0007178336838563898,-0.051741791823995235,0.10611307310925423,-0.058642872800306806
Are you an irritable person?,0.04816390520913197,-0.09686126984457147,0.14077693000547298,-0.05854697205187672,0.09151207726188855,-0.06378908769389394,-0.058820927064118636,-0.0025095336678536005,-0.05080995331624433,-0.05298252341452731,-0.020897671172604448,-0.0383298054708359,0.15333179993928386,-0.04720837490611482,0.030910719003622945,-0.07699601369576765,-0.08288542512860536,-0.02458901269767251,-0.033632813470010056,-0.0932256881681578,0.10026723911514523,-0.008656121824781041,-0.027548623043622305,-0.03336257558011486,0.05605159025558909,-0.05276336865557761,-0.04536133657728302,-0.04471996183314643,-0.060146550512588326,-0.09608798125250041
Are you easily hurt when people find fault with you or the work you do?,0.1762429069216658,-0.13606273244203063,-0.10323908408943706,-0.020756821756931273,0.045245680828356775,-0.04472392831254475,-0.1800900070102726,-0.018311467038212133,-0.07330561509875722,0.011787480090576391,-0.019644526368768594,0.012729668424480414,-0.027786337355836813,-0.08036830344928714,-0.11259763163361769,0.11110225156302361,0.10966922257434598,0.018947697585508943,0.04790779609416321,-0.04753177725879241,0.05425646497175854,-0.06953332701518898,-0.0056538900444585,0.006938981138554648,-0.07400429003761744,-0.0887763658885016,0.10194089956796733,0.06008127702540599,0.04542737487755728,-0.06936955254710572
Are you more easy-going about right and wrong than most people?,0.09614697438714802,-0.04220841633685602,0.08744219868017837,-0.09211940207107211,0.06501829293123924,0.12466533428056575,0.14729116853298124,0.04377266674973955,-0.13205542551968494,0.0654297861695726,-0.045960562209181745,-0.1018414396018123,0.10415006627178647,0.02529639072508865,0.01655570101549339,-0.17373602292696386,0.14607920145097397,0.09795906221843888,-0.09917859200010035,0.281126251022214,0.04678426428561851,-0.09080858308383506,0.14109844755318973,0.0899110294984563,-0.09975499137539809,0.06644617076493506,0.18693027150669955,0.06213550817319058,-0.01808660430228025,-0.12440355249609507
Are you mostly quiet when you are with other people?,0.12326134653689136,-0.10695985384612784,0.013071552266614116,-0.09640439707460599,0.009089288811140772,-0.1236809785224329,-0.10309449671198755,-0.09700141322975565,-0.019744492195239313,-0.10342098759567969,-0.10350727297944057,-0.187372414932808,-0.06552876976694218,-0.006453605755849125,-0.08366115441925381,0.07789191893781724,0.052943834790726556,-0.2515772174005169,-0.10468188965936921,0.1274248794113044,0.23227711935960846,0.1909351787685587,-0.0005417055286589238,0.09815399396600802,-0.2159995934637973,-0.06551382430854626,-0.14460536056648665,0.18534911133383672,-0.06499991591643277,0.08224347676506873
Are you often troubled about feelings of guilt?,0.09321713067056712,-0.10411011767086728,0.04301353782298163,-0.08663467807260739,0.08255879586281588,0.012255265404618377,-0.037033996039187035,-0.026007697885953706,0.11514457820691558,0.0715143126419984,0.14647817588669607,-0.058002108763729465,-0.01870920092899136,0.11508617005482319,-0.10574188230998958,-0.0438043901514493,-0.0351101200097276,0.07694171583058304,-0.08093740443084453,0.0869979108625733,0.04709823356129295,0.057454787017129826,0.19841949734189385,-0.15323165899757613,0.16080579621742233,-0.1637575477852508,-0.15649727647425227,-0.10671464516939924,0.031116451761305064,0.04868581682373865
Are you rather lively?,0.09199932472768399,0.014770297832186528,0.0028183411416175764,0.13371102114268132,-0.016147355389762315,-0.0002490784372613638,0.05493575813692455,0.016827518851405064,-0.05678211250112606,-0.12446514606436596,0.09897492642788247,0.053961724698556916,0.12184197651090176,-0.08623919766260082,-0.24851283720778056,-0.0329371566139918,0.04031909560630468,0.06813953410629968,0.3087943273670633,0.12449630954726831,0.13441541314398425,-0.09996297519974334,0.06533832102376254,0.11876036637346662,0.12646813629631234,-0.030187234060878504,-0.031067736562301378,-0.2108251998794961,-0.2100372431308139,0.03162593712711891
Are you sometimes bubbling over with energy and sometimes very sluggish?,0.16887539347804217,0.005094380407153378,-0.06331690647169967,-0.06281075530147757,-0.11359897581050395,0.002278888140962021,-0.1151026313523292,-0.09531959191974221,-0.12391623478274098,-0.04708269142935201,-0.10237965938215106,-0.19687478971255512,0.03437229892668253,0.14072667133806038,-0.04281952160141257,-0.05581653750013865,-0.12433959426019661,0.014388719477858317,-0.14258042195775883,-0.03280112278424802,-0.15254314886385753,0.12343279703935252,-0.17060171337269214,-0.10860016726416008,-0.07694523288984996,-0.06823187001861386,-0.12492073216932215,0.014779447036438848,-0.06607741483267451,-0.07609630146585292
Are you touchy about some things?,0.15187894522492223,-0.0926034319952017,-0.1545575045074987,-0.03391962269653213,0.017650859112287615,-0.05942543677036283,-0.16872665366876854,0.11157481150042935,-0.06219601920335161,0.01590368104244728,-0.12685716347137077,0.02409855213131644,0.15023215271776547,0.039037081781103516,0.26876347952973273,0.07246011371859094,0.008858457367800047,0.0903530319024622,0.034342665135220295,-0.13660986172203485,-0.07692864455583123,-0.009482128012986474,-0.013774071129361291,-0.059292915645572264,-0.05286167827550418,0.19335077383839747,-0.04094828195122,0.17602057464063922,-0.1344017374909897,0.07424048685720452
Are your feelings easily hurt?,0.11906080819351678,-0.001311625356878391,0.019445621943701377,-0.027324907058734825,-0.13773832264199004,-0.07490785068660201,0.009624565490200583,0.051765791648451284,-0.253004124405159,0.0891055556345623,0.14835373191649137,-0.14315571219262077,0.015607393015843728,0.0738054416690254,0.18813686800411403,0.09970812252986246,-0.01981165441636104,0.16349884131908143,0.08290569411624236,-0.056777836095607874,0.14865954128513809,-0.0960493873050022,-0.049498100996609395,-0.13891586989732582,-0.015345937772156036,-0.11824148527597662,-0.17913933725715955,-0.11523789866763062,-0.10011238396512356,0.1636379341562553
As a child did you do as you were told immediately and without grumbling?,0.02919761673331273,-0.17912365965438545,0.14979968303245714,-0.013141398769796708,0.04745707036577914,0.08493851361254694,-0.0602202166465026,0.21555356082380542,0.13140493647161258,0.01336236287196007,-0.11063648565107069,-0.00898192721005002,-0.2087058667884453,0.02007771367935587,0.006141576832125614,0.18295153428954303,0.026197397485466845,-0.11991076767919635,0.11176519051170823,-0.19278989340409186,-0.030155654566230698,0.15053742443677431,0.16620665793196882,0.00497456204500102,0.1507941505631117,-0.13100871467504477,-0.011873932261985944,0.04944399693852493,-0.04455680000975658,-0.14403880496567892
