,F1,F2
"After seeing a play or movie, I have felt as though I were one of the characters. ",0.7303924163686664,0.2883013758128423
Becoming extremely involved in a good book or movie is somewhat rare for me. ,-0.42285645153452006,-0.2503074299327986
"Before criticizing somebody, I try to imagine how I would feel if I were in their place.",-0.6402122249892568,0.42634098368053264
Being in a tense emotional situation scares me. ,0.8275805013872376,-0.06048002530498589
I am often quite touched by things that I see happen. ,0.5767060520872302,0.328532174449874
"I am usually objective when I watch a movie or play, and I don't often get completely caught up in it.",-0.3502016973171307,-0.28325278448224933
I am usually pretty effective in dealing with emergencies. ,-0.16567045818798762,0.40901257153453124
I believe that there are two sides to every question and try to look at them both.,-0.5497707723241039,0.2561486783040918
"I daydream and fantasize, with some regularity, about things that might happen to me.",0.5626230436949179,0.43588877768104406
"I often have tender, concerned feelings for people less fortunate than me.",0.04563723533225614,0.573205867976449
I really get involved with the feelings of the characters in a novel.,0.5348349274998484,0.4812449960315842
I sometimes feel helpless when I am in the middle of a very emotional situation.,0.8031742629547844,0.043884830544116855
I sometimes find it difficult to see things from the “other guy’s” point of view.,0.6661271980117905,-0.20902681496156203
I sometimes try to understand my friends better by imagining how things look from their perspective. ,-0.0001138158852833467,0.5963463524452715
I tend to lose control during emergencies.,0.5491632452741504,-0.09723533847596852
I try to look at everybody's side of a disagreement before I make a decision.,-0.5204533544172365,0.46169564382768696
I would describe myself as a pretty soft-hearted person.,0.03351444046555073,0.6469239330904508
"If I'm sure I'm right about something, I don't waste much time listening to other people's arguments. ",0.6634181548378247,-0.11323124337166815
"In emergency situations, I feel apprehensive and ill-at-ease.",0.7490491071780683,0.06713237440026693
Other people's misfortunes do not usually disturb me a great deal. ,0.16935377972803503,-0.4085646974183319
Sometimes I don't feel very sorry for other people when they are having problems,0.3670481884533282,-0.051397558088809595
"When I am reading an interesting story or novel, I imagine how I would feel if the events in the story were happening to me. ",0.19656700446052516,0.4411344600899962
"When I see someone being taken advantage of, I feel kind of protective towards them. ",-0.1655437177190349,0.7232623262100273
"When I see someone being treated unfairly, I sometimes don't feel very much pity for them.",-0.22101898049682123,-0.3700298059044762
"When I see someone get hurt, I tend to remain calm. ",-0.5104172616482291,-0.04885225622689033
"When I see someone who badly needs help in an emergency, I go to pieces.",0.6131639808990423,-0.03676128401950463
"When I watch a good movie, I can very easily put myself in the place of a leading character. ",0.28737942960342344,0.7039546386212159
"When I'm upset at someone, I usually try to ""put myself in his shoes"" for a while. ",-0.13184663670493132,0.7085369855655962
