,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34
Are all your habits good and desirable ones?,0.07053976345066908,-0.014864764732645813,0.00557152346919326,-0.14292798758643616,0.06872467494461662,-0.0678356816248161,0.0007459150211148769,0.0016527114935959756,-0.03107654237675027,0.0294024997612012,0.11449832997711061,0.0008405963538612473,-0.005612608439455685,0.05277162354759351,0.0039870824556637015,-0.0037420743109699674,0.03514661782210026,0.028304024172531,0.10501223003877554,-0.015756778542089966,0.10312025342625485,-0.020913773906193117,-0.11094977179463325,-0.06245532997487798,-0.046764316148369206,0.14337820480012936,0.17465727673046738,0.22183863654171393,-0.07454067298748517,0.1381657984395446,-0.006879915255761498,-0.18438056017526516,-0.0006767056968979903,-0.10305651781601403
Are there several people who keep trying to avoid you?,0.11096905376515522,-0.08995728153478308,0.1118939713673298,-0.12457822244428957,-0.057277148065582414,-0.15486334254906078,0.09900159345828093,-0.06020245265366232,-0.061744210773590304,-0.03680267937089784,0.12167807278826896,-0.15028394827825445,0.0441130673325064,-0.029127206449784015,-0.05084205377586292,0.06854826404076256,0.100847488159502,0.030472162437874307,0.28689181513053125,-0.0004501565236338504,-0.027250260273380685,0.08567135743594642,-0.042074017635703745,-0.10486933850879063,-0.14396086728795074,0.03249390691688951,-0.054069854433781234,0.013753953590710782,-0.050865833890507195,-0.024169273138545437,0.016186582331022277,0.019994089196009538,0.05307106345177563,0.007389610807186624
Are you a talkative person?,0.09781060725659364,0.0838319260520535,-0.08693686569689768,0.03103037207720782,-0.13272378172412008,0.06261721231855852,0.048570384224859466,0.09725972505041261,0.030513569219696363,-0.14327852325909204,0.26859166889961367,0.30835789181798695,0.010997841471441868,-0.14424979092179746,0.21499327051960124,0.13738092913376684,-0.03330478992849249,0.14214766844907353,-0.08945820436847882,-0.032982554938204726,0.13254641520581983,0.117966440368014,0.12963176282144484,-0.12511816187580738,0.039630080509097096,0.030978808284776636,-0.049192731641109586,0.1321510543643079,-0.09037267715764871,0.21390852796288742,0.0617738253378161,0.018601014534795453,0.026944405908441812,0.10024097546126035
Are you a worrier?,0.07394129904663452,0.20557604579948976,-0.013092198925984216,0.078468263583196,0.16235199185067153,0.014385992838758976,-0.02297945065205014,-0.029145601610962173,0.022540084151688528,-0.04597420260538349,0.19861081671420563,0.025694679997902686,-0.04876043073947295,-0.20431160261626338,0.06887029317883615,0.06200648963043005,0.07663324404303537,-0.204102817010878,0.10943281038672524,0.05706027123842872,0.0546277680644811,-0.00998618634251086,0.19220351706351288,0.02475887687254173,-0.1564748950132574,0.13909755330653945,0.14229534062945384,-0.2205837151881853,0.08387406583417191,-0.09108914806338779,-0.21046798891967167,0.22821954820993437,-0.04700598123807729,-0.13327697917524947
Are you always willing to admit it when you have made a mistake?,0.19428093649299066,0.012426863976729648,-0.03597355738319655,0.11351595579468518,0.1807938344863118,-0.07496228405637917,-0.09760810368607303,0.082678668971101,0.07302336516635168,-0.036241454153668085,-0.21304915348737175,0.14899523040708224,0.12375887276673221,-0.06889508085991758,-0.13748079086342874,0.18111381615289288,-0.08403093762932397,-0.06622071747646477,-0.023922312516398998,0.12720684394526313,-0.19728546402204136,0.25682019038080217,-0.13124095386558005,0.04430163474361562,0.0008721793164082223,-0.04149801652320145,-0.14280509638643132,-0.143364304509992,-0.2851230955262328,0.08865277784110169,-0.1705336986623571,0.060185264512398286,-0.1047762352102413,0.11712117803944154
Are you an irritable person?,0.17752706630745993,-0.08613952397455304,0.060210777837664896,0.003172749884794684,-0.04591114297901293,-0.10700169322644895,0.02819403020943013,-0.050165618503346825,0.22245149073711679,-0.08224041864641206,-0.04539353250474325,0.0535503613842093,0.1058566267726839,-0.024705666013858627,-0.0589293889828387,0.07931051220996817,0.06408606867342452,0.10286312237544132,-0.11182395300161779,-0.06766968300912844,-0.04577460698766975,0.00398044354122685,-0.0022499992502811885,0.11108771558268561,0.18552025279566553,-0.040030142079812286,0.04928236646525347,-0.19079397642325222,0.07621132880809349,-0.09701104648098825,0.04973836137053859,0.19853520368579639,0.14095479347641424,-0.08150707571122132
Are you easily hurt when people find fault with you or the work you do?,0.014408160602297035,-0.007185430093885289,-0.01167162964966741,-0.030816424298145927,-0.006129684505179336,0.059965388080556584,0.0015944345600023553,-0.06666570788449504,-0.010823167627179773,-0.01961795169186951,0.008936408776066667,-0.05430486416410682,-0.05785699233362619,0.0777840448685498,0.028873349362788434,-0.031601074123913046,-0.021246467985252374,0.06882187351920134,0.0911112502849765,-0.1526048517510899,-0.034363411737358046,-0.17067037740793536,0.11723714752113572,0.06947709021814276,0.10825125704207585,-0.12468021912962991,0.0065805306117487535,-0.1105137407664356,0.004528476657570461,-0.016537408468007542,-0.057037237266680516,-0.08091721850099938,0.34385288044728246,0.04475641954898692
Are you more easy-going about right and wrong than most people?,0.14413966672482256,-0.01672681607109699,-0.07668345651981866,-0.13375530569452104,0.1096216857028534,-0.08461961231206862,-0.07673637758371889,0.034145467038445336,0.10918690581485566,0.10288709037326532,0.12073186523839642,0.11952038545229485,0.02006135390666048,0.10312343329997965,-0.11861907638079752,-0.09786265226726032,0.04163732344723219,0.006446572719753404,-0.0485442189051979,-0.0019374796312574098,-0.008395843752763634,-0.008876939678494141,0.15595460495957722,0.05152604046750943,-0.15190372463481983,-0.05450924661022403,-0.21425626153355684,0.13743831735019316,0.03354352663420876,0.03393151473145514,-0.08151155843214893,-0.09619286149032424,0.18534801762590822,0.03176714996039753
Are you mostly quiet when you are with other people?,0.18248485881909018,-0.044870192385798605,0.14320901723013962,0.05332836035339703,-0.02399757795619013,-0.06741039104301111,0.015107818412903,-0.08710252115306565,-0.020031541242669454,-0.05388526228122118,-0.20293387979420924,-0.011574943251953383,0.04507035624378067,0.021902127876814993,0.08493990583462102,-0.009140106846120313,0.11061795952064857,0.06953800336061282,-0.025529434223023822,0.03482618226658973,0.07111587384265854,0.1390850531522789,0.06347650478257855,0.21904019060134455,0.37843358538452126,0.24808532060695176,0.05141558607568536,-0.08562582678554478,0.28591477333750376,0.0006021780894985,-0.03331703643259681,-0.09237705327212327,-0.06066755308754161,0.2285745898078985
Are you often troubled about feelings of guilt?,0.11809364736077044,-0.03651378448169011,0.08081685477320821,0.1508169746228768,-0.029542754436939888,0.028751332703517676,-0.1727996426375178,-0.24534157371622226,0.08097608581403327,0.25482151200836434,0.18121942668043928,0.15276902761351238,-0.11155180600260682,0.00037540515779354726,-0.010529247128708685,-0.00031352551030031605,0.12595237045594582,0.3391161789463977,-0.12511140769865375,0.019437495124492218,0.13772800657494622,-0.145688634158727,-0.23553156000763675,-0.0667641663801978,-0.12073775349397213,-0.09043615259358313,0.006808268294690988,-0.1631300176272117,0.2058551233177578,-0.1705903724817021,0.044916597049379656,-0.0905313416416305,-0.07157343201548824,0.09004118604831825
