,F1,F2
I am always looking to find my life’s purpose.,0.9885345993981599,-0.02000029499791255
I am always searching for something that makes my life feel significant.,0.7903747578393338,0.04323377769360154
I am looking for something that makes my life feel meaningful,0.780970007088276,-0.07505127051792021
I am searching for meaning in my life.,0.7215096488791457,0.034348691039301875
I am seeking a purpose or mission for my life.,0.7432059967384224,0.043994888103070416
I have a good sense of what makes my life meaningful.,-0.03906937492968341,0.9513348715579564
I have discovered a satisfying life purpose.,0.2768310080983422,0.6891268022000437
I understand my life’s meaning,0.016767005013703144,0.6011490862468046
My life has a clear sense of purpose.,-0.11065952402111028,0.7737093465340601
My life has no clear purpose.,0.33189336679072823,-0.044370232567206014
