,PC1
I accept that this has happened and that it can't be changed.,0.22360679774997871
I act as though it hasn't even happened.,0.22360679774997894
I ask people who have had similar experiences what they did.,-0.22360679774997894
I force myself to wait for the right time to do something.,0.22360679774997894
I get upset and let my emotions out.,-0.22360679774997894
"I get upset, and am really aware of it.",-0.22360679774997894
I get used to the idea that it happened.,0.22360679774997894
"I go to movies or watch TV, to think about it less.",-0.22360679774997894
I hold off doing anything about it until the situation permits.,-0.22360679774997894
I keep myself from getting distracted by other thoughts or activities.,0.22360679774997894
I kid around about it.,-0.22360679774997894
I learn to live with it.,0.22360679774997894
I refuse to believe that it has happened.,0.22360679774997894
"I say to myself ""this isn't real.""",0.22360679774997894
I take direct action to get around the problem.,0.22360679774997894
I talk to someone about how I feel.,-0.22360679774997894
I talk to someone who could do something concrete about the problem.,0.22360679774997894
I try hard to prevent other things from interfering with my efforts at dealing with this.,0.22360679774997894
I try to get advice from someone about what to do.,-0.22360679774997894
I turn to work or other substitute activities to take my mind off things.,0.22360679774997894
