,F1,F2
	I calm myself down by talking silently to myself,0.3223240804894867,0.523558655365221
"I evaluate my behavior using my inner speech. For example I say to myself, “that was good” or “that was stupid”",0.3312167254352914,0.6781983077714873
I experience the voices of other people asking me questions in my head.,0.2676771192667439,0.17825554289827192
"I hear other people's actual voices in my head, saying things that they actually once said to me.",-0.004694401789063281,0.6155443573178296
"I hear other people's actual voices in my head, saying things that they have never said to me before.",-0.16721387042823924,0.6602602600279247
I hear other people's voices nagging me in my head.,0.0812757497437143,0.616621824752063
"I hear the voice of another person in my head. For example, when I have done something foolish I hear my mother's voice criticising me in my mind.",-0.09203378090593582,0.6831663459976707
I talk back and forward to myself in my mind about things.,0.7405618517708947,0.17848660246303905
I talk silently to myself telling myself not to do things.,0.6310643837698104,-0.004418362541527629
I talk silently to myself telling myself to do things.,0.7887501924025404,-0.050136309753816256
I talk to myself silently in an encouraging way.,0.473458234527295,0.40223939462317854
"I think in inner speech about what I have done, and whether it was right or not.",0.39792061162046144,0.4098240407392557
I think to myself in words using brief phrases and single words rather than full sentences.,0.6213798427220059,-0.18442863411914417
I think to myself in words using full sentences.,0.46208187538484335,-0.045461500372937606
"If I were to write down my thoughts on paper, they would read like a normal grammatical sentence.",0.08913533915527294,0.007077878856456536
In my head I talk to myself a critical way.,0.22715569828771962,0.28747717840588166
My inner speech contributes to me feeling down and depressed,-0.29646949308439885,0.7328541692000455
"My thinking in words is like a speech or a monologue, rather than a conversation",0.7338542459096306,-0.17948022702089442
"My thinking in words is more like a dialog with myself, rather than my own thoughts in a monolog.",0.195787246457784,0.3817317701074109
"My thinking in words is shortened compared to my normal out-loud speech. For example, rather than saying to myself things like ‘I need to go to the shops’, I will just say ‘shops’ to myself in my head.",0.3572465997685584,0.23390838173420492
"My thinking to myself in words is like shorthand notes, rather than full, proper, grammatical English.",0.34930584028987577,0.04480976901748693
What I say in my inner speech makes me feel anxious,-0.06181436864510102,0.7708239030590569
"When I am talking to myself about things in my mind, it is like I am going back and forward asking myself questions and then answering them.",0.4482905388499668,-0.028970037152307587
"When I am talking to myself about things in my mind, it is like I am having a conversation with myself.",0.5555298475278003,0.2696728457645934
"When I think to myself in words about upsetting things, I can easily change topics in my mind and talk to myself about other things",0.5669464057292191,-0.297027481669517
"When angry, my inner speech can help calm me down.",0.21176974213647262,0.39551078043833676
