,F1,F2,F3
I am aware of the way my mind works when I am thinking through a problem,0.1552606140933591,0.14639209864102773,-0.5520338636417674
I am constantly aware of my thinking,0.4406758640527049,-0.07803065672296063,-0.13579158753650467
I cannot ignore my worrying thoughts,0.6640280165789476,0.034182667736100174,0.1738863372890773
I constantly examine my thoughts,0.7001912478205671,0.013588006293264161,-0.07924494358557421
I could make myself sick with worrying,0.1273138206386988,0.3912252159657087,0.1487260899917564
I do not trust my memory,0.031438123843358236,0.7684292293099959,-0.29015134208392385
I have a poor memory,0.23150022847540022,0.5766592861823782,-0.019884124693734583
I have little confidence in my memory for actions,0.042295889272548695,0.5916007688664117,0.0777627723760538
I have little confidence in my memory for places,0.6763827350654182,0.045787334389790935,-0.2328785293345701
I have little confidence in my memory for words and names,-0.031176044262892014,0.6355904063496345,0.049793133748623146
I need to worry in order to remain organised,0.13744355747797757,0.38558492800769356,0.43199648219207076
I need to worry in order to work well,0.3826581859920472,-0.07139936157408325,0.44416019675751406
I pay close attention to the way my mind works,0.3495530053799959,0.2242656379101139,-0.49001205478135507
I should be in control of my thoughts all of the time,0.5032287568546662,0.1411956495005518,0.34402729596981413
I think a lot about my thoughts,0.05516315615203904,0.0519611563447555,0.4867119288194004
I will be punished for not controlling certain thoughts,0.7946073795793053,0.003894673001799282,0.051053218434147125
"If I could not control my thoughts, I would not be able to function",-0.019888572318469928,0.09676862525232148,0.33484240037211677
"If I did not control a worrying thought and then it happened, it would be my fault",0.26853157350904955,0.315958784640632,0.10804502548386855
It is bad to think certain thoughts,-0.18006005313915238,0.6964010563747162,0.2171259167062726
My memory can mislead me at times,-0.5125928797227658,0.3966129925145035,-0.15982570693022774
My worrying could make me go mad,0.6273767588636541,0.23175370957629934,0.10475133897855461
My worrying is dangerous for me,0.5856901050703787,-0.11633130964270559,-0.23846228156381746
"My worrying thoughts persist, no matter how I try to stop them",0.12539981160014593,0.4229893181019229,-0.05532237235312071
Not being able to control my thoughts is a sign of weakness,0.2110882954766316,0.06874713071559169,0.6659290716689465
"When I start worrying, I cannot stop",0.7701096888782885,-0.03324685457560778,0.052693584134647864
Worrying helps me cope,0.0011962977604461442,0.35249012572193494,0.32987023757263007
Worrying helps me to avoid problems in the future,0.23803941849152777,0.2975798896850952,0.13941912049647717
Worrying helps me to get things sorted out in my mind,0.10073219405361881,0.24778935112424325,0.16636759800152376
Worrying helps me to solve problems,0.22865005116409046,0.168501421780493,-0.3583875232519719
